scenario,C,L_ctx,cost,loss_relative_difference,t_difference,state_65,state_257
main,1e+24,8192,logarithmic,0.0,0.0,R2,R2
main,1e+24,32768,exponential,0.0,0.0,R2,R2
main,1e+24,32768,power,0.0,0.0,R2,R2
main,1e+24,32768,logarithmic,0.0,0.0,R2,R2
main,1e+24,131072,exponential,0.0,0.0,R2,R2
main,1e+24,131072,power,0.0,0.0,R2,R2
main,1e+24,131072,logarithmic,0.0,0.0,R2,R2
p_star,1e+19,2048,exponential,0.0,0.0,R2,R2
p_star,1e+22,2048,exponential,0.0,0.0,R2,R2
p_star,1e+24,2048,exponential,0.0,0.0,R2,R2
p_star,1e+19,2048,power,0.0,0.0,R2,R2
p_star,1e+22,2048,power,0.0,0.0,R2,R2
p_star,1e+24,2048,power,0.0,0.0,R2,R2
p_star,1e+19,2048,logarithmic,0.0,0.0,R2,R2
p_star,1e+22,2048,logarithmic,0.0,0.0,R2,R2
p_star,1e+24,2048,logarithmic,0.0,0.0,R2,R2
p_star,1e+19,4096,exponential,0.0,0.0,R2,R2
p_star,1e+22,4096,exponential,0.0,0.0,R2,R2
p_star,1e+24,4096,exponential,0.0,0.0,R2,R2
p_star,1e+19,4096,power,0.0,0.0,R2,R2
p_star,1e+22,4096,power,0.0,0.0,R2,R2
p_star,1e+24,4096,power,0.0,0.0,R2,R2
p_star,1e+19,4096,logarithmic,0.0,0.0,R2,R2
p_star,1e+22,4096,logarithmic,0.0,0.0,R2,R2
p_star,1e+24,4096,logarithmic,0.0,0.0,R2,R2
p_star,1e+19,8192,exponential,0.0,0.0,R2,R2
p_star,1e+22,8192,exponential,0.0,0.0,R2,R2
p_star,1e+24,8192,exponential,0.0,0.0,R2,R2
p_star,1e+19,8192,power,0.0,0.0,R2,R2
p_star,1e+22,8192,power,0.0,0.0,R2,R2
p_star,1e+24,8192,power,0.0,0.0,R2,R2
p_star,1e+19,8192,logarithmic,0.0,0.0,R2,R2
p_star,1e+22,8192,logarithmic,0.0,0.0,R2,R2
p_star,1e+24,8192,logarithmic,0.0,0.0,R2,R2
p_star,1e+19,32768,exponential,0.0,0.0,R2,R2
p_star,1e+22,32768,exponential,0.0,0.0,R2,R2
p_star,1e+24,32768,exponential,0.0,0.0,R2,R2
p_star,1e+19,32768,power,0.0,0.0,R2,R2
p_star,1e+22,32768,power,0.0,0.0,R2,R2
p_star,1e+24,32768,power,0.0,0.0,R2,R2
p_star,1e+19,32768,logarithmic,0.0,0.0,R2,R2
p_star,1e+22,32768,logarithmic,0.0,0.0,R2,R2
p_star,1e+24,32768,logarithmic,0.0,0.0,R2,R2
p_star,1e+19,131072,exponential,0.0,0.0,R2,R2
p_star,1e+22,131072,exponential,0.0,0.0,R2,R2
p_star,1e+24,131072,exponential,0.0,0.0,R2,R2
p_star,1e+19,131072,power,0.0,0.0,R2,R2
p_star,1e+22,131072,power,0.0,0.0,R2,R2
p_star,1e+24,131072,power,0.0,0.0,R2,R2
p_star,1e+19,131072,logarithmic,0.0,0.0,R2,R2
p_star,1e+22,131072,logarithmic,0.0,0.0,R2,R2
p_star,1e+24,131072,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+19,2048,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+22,2048,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+24,2048,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+19,2048,power,0.0,0.0,R2,R2
sQ_0.5,1e+22,2048,power,0.0,0.0,R2,R2
sQ_0.5,1e+24,2048,power,0.0,0.0,R2,R2
sQ_0.5,1e+19,2048,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+22,2048,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+24,2048,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+19,4096,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+22,4096,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+24,4096,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+19,4096,power,0.0,0.0,R2,R2
sQ_0.5,1e+22,4096,power,0.0,0.0,R2,R2
sQ_0.5,1e+24,4096,power,0.0,0.0,R2,R2
sQ_0.5,1e+19,4096,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+22,4096,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+24,4096,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+19,8192,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+22,8192,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+24,8192,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+19,8192,power,0.0,0.0,R2,R2
sQ_0.5,1e+22,8192,power,0.0,0.0,R2,R2
sQ_0.5,1e+24,8192,power,0.0,0.0,R2,R2
sQ_0.5,1e+19,8192,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+22,8192,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+24,8192,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+19,32768,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+22,32768,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+24,32768,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+19,32768,power,0.0,0.0,R2,R2
sQ_0.5,1e+22,32768,power,0.0,0.0,R2,R2
sQ_0.5,1e+24,32768,power,0.0,0.0,R2,R2
sQ_0.5,1e+19,32768,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+22,32768,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+24,32768,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+19,131072,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+22,131072,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+24,131072,exponential,0.0,0.0,R2,R2
sQ_0.5,1e+19,131072,power,0.0,0.0,R2,R2
sQ_0.5,1e+22,131072,power,0.0,0.0,R2,R2
sQ_0.5,1e+24,131072,power,0.0,0.0,R2,R2
sQ_0.5,1e+19,131072,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+22,131072,logarithmic,0.0,0.0,R2,R2
sQ_0.5,1e+24,131072,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+19,2048,exponential,0.0,0.0,R2,R2
sQ_2,1e+22,2048,exponential,0.0,0.0,R2,R2
sQ_2,1e+24,2048,exponential,0.0,0.0,R2,R2
sQ_2,1e+19,2048,power,0.0,0.0,R0,R0
sQ_2,1e+22,2048,power,0.0,0.0,R2,R2
sQ_2,1e+24,2048,power,0.0,0.0,R2,R2
sQ_2,1e+19,2048,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+22,2048,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+24,2048,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+19,4096,exponential,0.0,0.0,R2,R2
sQ_2,1e+22,4096,exponential,0.0,0.0,R2,R2
sQ_2,1e+24,4096,exponential,0.0,0.0,R2,R2
sQ_2,1e+19,4096,power,0.0,0.0,R0,R0
sQ_2,1e+22,4096,power,0.0,0.0,R2,R2
sQ_2,1e+24,4096,power,0.0,0.0,R2,R2
sQ_2,1e+19,4096,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+22,4096,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+24,4096,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+19,8192,exponential,0.0,0.0,R2,R2
sQ_2,1e+22,8192,exponential,0.0,0.0,R2,R2
sQ_2,1e+24,8192,exponential,0.0,0.0,R2,R2
sQ_2,1e+19,8192,power,0.0,0.0,R0,R0
sQ_2,1e+22,8192,power,0.0,0.0,R2,R2
sQ_2,1e+24,8192,power,0.0,0.0,R2,R2
sQ_2,1e+19,8192,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+22,8192,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+24,8192,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+19,32768,exponential,0.0,0.0,R2,R2
sQ_2,1e+22,32768,exponential,0.0,0.0,R2,R2
sQ_2,1e+24,32768,exponential,0.0,0.0,R2,R2
sQ_2,1e+19,32768,power,0.0,0.0,R2,R2
sQ_2,1e+22,32768,power,0.0,0.0,R2,R2
sQ_2,1e+24,32768,power,0.0,0.0,R2,R2
sQ_2,1e+19,32768,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+22,32768,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+24,32768,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+19,131072,exponential,0.0,0.0,R2,R2
sQ_2,1e+22,131072,exponential,0.0,0.0,R2,R2
sQ_2,1e+24,131072,exponential,0.0,0.0,R2,R2
sQ_2,1e+19,131072,power,0.0,0.0,R2,R2
sQ_2,1e+22,131072,power,0.0,0.0,R2,R2
sQ_2,1e+24,131072,power,0.0,0.0,R2,R2
sQ_2,1e+19,131072,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+22,131072,logarithmic,0.0,0.0,R2,R2
sQ_2,1e+24,131072,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+19,2048,exponential,0.0,0.0,R2,R2
keep_20pct,1e+22,2048,exponential,0.0,0.0,R2,R2
keep_20pct,1e+24,2048,exponential,0.0,0.0,R2,R2
keep_20pct,1e+19,2048,power,0.0,0.0,R2,R2
keep_20pct,1e+22,2048,power,0.0,0.0,R2,R2
keep_20pct,1e+24,2048,power,0.0,0.0,R2,R2
keep_20pct,1e+19,2048,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+22,2048,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+24,2048,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+19,4096,exponential,0.0,0.0,R2,R2
keep_20pct,1e+22,4096,exponential,0.0,0.0,R2,R2
keep_20pct,1e+24,4096,exponential,0.0,0.0,R2,R2
keep_20pct,1e+19,4096,power,0.0,0.0,R2,R2
keep_20pct,1e+22,4096,power,0.0,0.0,R2,R2
keep_20pct,1e+24,4096,power,0.0,0.0,R2,R2
keep_20pct,1e+19,4096,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+22,4096,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+24,4096,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+19,8192,exponential,0.0,0.0,R2,R2
keep_20pct,1e+22,8192,exponential,0.0,0.0,R2,R2
keep_20pct,1e+24,8192,exponential,0.0,0.0,R2,R2
keep_20pct,1e+19,8192,power,0.0,0.0,R2,R2
keep_20pct,1e+22,8192,power,0.0,0.0,R2,R2
keep_20pct,1e+24,8192,power,0.0,0.0,R2,R2
keep_20pct,1e+19,8192,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+22,8192,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+24,8192,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+19,32768,exponential,0.0,0.0,R2,R2
keep_20pct,1e+22,32768,exponential,0.0,0.0,R2,R2
keep_20pct,1e+24,32768,exponential,0.0,0.0,R2,R2
keep_20pct,1e+19,32768,power,0.0,0.0,R2,R2
keep_20pct,1e+22,32768,power,0.0,0.0,R2,R2
keep_20pct,1e+24,32768,power,0.0,0.0,R2,R2
keep_20pct,1e+19,32768,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+22,32768,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+24,32768,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+19,131072,exponential,0.0,0.0,R2,R2
keep_20pct,1e+22,131072,exponential,0.0,0.0,R2,R2
keep_20pct,1e+24,131072,exponential,0.0,0.0,R2,R2
keep_20pct,1e+19,131072,power,0.0,0.0,R2,R2
keep_20pct,1e+22,131072,power,0.0,0.0,R2,R2
keep_20pct,1e+24,131072,power,0.0,0.0,R2,R2
keep_20pct,1e+19,131072,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+22,131072,logarithmic,0.0,0.0,R2,R2
keep_20pct,1e+24,131072,logarithmic,0.0,0.0,R2,R2
sQ_2,1.4864170187008199e+19,2048,power,0.0,0.0,R0,R0
sQ_2,1.4865656752683467e+19,2048,power,0.0,0.0,R0,R0
sQ_2,1.4867143318358735e+19,2048,power,0.0,2.347585559107912e-13,R1,R1
sQ_2,2.011421973296243e+19,2048,power,2.220446049250313e-16,1.4988010832439613e-14,R1,R1
sQ_2,2.011623135609804e+19,2048,power,0.0,4.440892098500626e-16,R2,R2
sQ_2,2.011824297923365e+19,2048,power,0.0,0.0,R2,R2
sQ_2,1.3786759424868424e+19,4096,power,0.0,0.0,R0,R0
sQ_2,1.3788138238692293e+19,4096,power,0.0,0.0,R0,R0
sQ_2,1.3789517052516162e+19,4096,power,2.220446049250313e-16,2.3528217134999307e-13,R1,R1
sQ_2,1.8656265703937217e+19,4096,power,0.0,9.325873406851315e-15,R1,R1
sQ_2,1.8658131517088924e+19,4096,power,0.0,0.0,R2,R2
sQ_2,1.865999733024063e+19,4096,power,0.0,0.0,R2,R2
sQ_2,1.2011995810337143e+19,8192,power,0.0,0.0,R0,R0
sQ_2,1.2013197130050148e+19,8192,power,0.0,0.0,R0,R0
sQ_2,1.2014398449763154e+19,8192,power,0.0,2.366801416311959e-13,R1,R1
sQ_2,1.625465263925627e+19,8192,power,2.220446049250313e-16,7.66053886991358e-15,R1,R1
sQ_2,1.625627826708298e+19,8192,power,0.0,0.0,R2,R2
sQ_2,1.6257903894909688e+19,8192,power,0.0,0.0,R2,R2
sQ_2,1.7292801696004084e+19,2048,power,2.220446049250313e-16,1.8437511628555114e-08,R1,R1
sQ_2,1.6039354620224707e+19,4096,power,2.220446049250313e-16,1.503241975342462e-13,R1,R1
sQ_2,1.3974615394472145e+19,8192,power,2.220446049250313e-16,3.111379288656124e-07,R1,R1
