recipe,keep,Q0,u_cap_candidate,Q_cap_candidate,known_weight,unknown_weight
p0,1.0,-0.0801482688934408,0.0,-0.0801482688934408,0.5646359074665894,0.4353640925334106
p0,0.8,-0.0801482688934408,0.0531116279259453,-0.0270366409674955,0.5646359074665894,0.4353640925334106
p0,0.5,-0.0801482688934408,0.1136718029556062,0.0335235340621653,0.5646359074665894,0.4353640925334106
p0,0.2,-0.0801482688934408,0.1907565600886432,0.1106082911952024,0.5646359074665894,0.4353640925334106
p0,0.1,-0.0801482688934408,0.2354981322386596,0.1553498633452188,0.5646359074665894,0.4353640925334106
p0,0.05,-0.0801482688934408,0.2748589092261798,0.1947106403327389,0.5646359074665894,0.4353640925334106
p_star,1.0,-0.082576495487707,0.0,-0.082576495487707,0.4534175521927163,0.5465824478072837
p_star,0.8,-0.082576495487707,0.0429945080883074,-0.0395819873993995,0.4534175521927163,0.5465824478072837
p_star,0.5,-0.082576495487707,0.0920073258409263,0.0094308303532193,0.4534175521927163,0.5465824478072837
p_star,0.2,-0.082576495487707,0.1541045999375224,0.0715281044498154,0.4534175521927163,0.5465824478072837
p_star,0.1,-0.082576495487707,0.1898820285411689,0.1073055330534619,0.4534175521927163,0.5465824478072837
p_star,0.05,-0.082576495487707,0.2209491844286372,0.1383726889409303,0.4534175521927163,0.5465824478072837
