C,L_ctx,cost,loss_p0,N_B_p0,D_B_p0,u_max_p0,loss_pstar,N_B_pstar,D_B_pstar,u_max_pstar,predicted_pstar_loss_reduction
1e+19,2048,exponential,2.960222874344157,0.2461296979281701,5.784558570059291,0.1136718029556062,2.927269009916473,0.240815227908364,6.024359286235479,0.0920073258409263,0.03295386442768411
1e+19,2048,power,2.976311790425886,0.26643982567891794,4.991061273396714,0.1136718029556062,2.940078536899618,0.2575075227614914,5.3180215116500715,0.0920073258409263,0.03623325352626816
1e+19,2048,logarithmic,2.965093027732582,0.25232951613414567,5.522884136016796,0.1136718029556062,2.9321245665859523,0.24718709031912234,5.738598271593972,0.0920073258409263,0.03296846114662966
1e+19,4096,exponential,2.971761212382365,0.23860171357182272,5.623600254116489,0.1136718029556062,2.9386276882700937,0.23358243219102404,5.850541156922851,0.0920073258409263,0.03313352411227122
1e+19,4096,power,2.9875467468686656,0.2578186957403572,4.8687235421558555,0.1136718029556062,2.9511844614337566,0.24936107505565572,5.180484488124746,0.0920073258409263,0.03636228543490905
1e+19,4096,logarithmic,2.9765353816625812,0.2444624241496701,5.375317988766339,0.1136718029556062,2.9433841389127036,0.23960088797036747,5.580040072222629,0.0920073258409263,0.033151242749877685
1e+19,8192,exponential,2.9932103186811716,0.2254526545159809,5.338329931058404,0.1136718029556062,2.959737123542255,0.22093345645138307,5.543309807676281,0.0920073258409263,0.033473195138916445
1e+19,8192,power,3.0084501056770994,0.24281202043574016,4.65007159326032,0.1136718029556062,2.9718403969261753,0.23516199543878208,4.93549376410922,0.0920073258409263,0.036609708750924064
1e+19,8192,logarithmic,2.9978122469489903,0.2307379760787548,5.113034230994929,0.1136718029556062,2.9643161104360396,0.22635311092487778,5.298880569235005,0.0920073258409263,0.03349613651295069
1e+19,32768,exponential,3.0921314511846436,0.17639969720405552,4.227259660004184,0.1136718029556062,3.057006052592139,0.17355782411966217,4.3569685711448125,0.0920073258409263,0.03512539859250463
1e+19,32768,power,3.105134476524764,0.18746573301063665,3.774754348193726,0.1136718029556062,3.0672663489633694,0.18256240911916266,3.9655885221219545,0.0920073258409263,0.03786812756139479
1e+19,32768,logarithmic,3.096033138733638,0.17974534509374207,4.082019099012728,0.1136718029556062,3.0608685395454858,0.17696807586550903,4.202030451623485,0.0920073258409263,0.0351645991881524
