target,loss_change,selected
ubuntu_irc,-0.001719789086258583,True
dm_mathematics,-0.0016371350880874935,False
hackernews,-0.0009591240208144391,False
enron_emails,-0.0009589157964033923,False
philpapers,-0.0003671376099316781,False
stackexchange,-0.00013845906637355299,False
nih_exporter,-2.81497029308575e-05,False
wikipedia_en,6.358200789913226e-05,True
pubmed_central,0.0001218986418547452,False
pubmed_abstracts,0.00012276624980911421,False
uspto_backgrounds,0.0001733498521239163,False
github,0.00017379522926930235,False
freelaw,0.00017849516707579838,False
gutenberg_pg_19,0.00018051066847890596,False
arxiv,0.00020021592928776144,False
europarl,0.0005014836702921244,True
