转出,转入,delta,问题一损失差,广义损失差_情景,一阶近似
arxiv,freelaw,0.001,-1.8008762046939353e-05,-2.1802531526837754e-06,-2.496596309110324e-06
arxiv,nih_exporter,0.001,-0.0004025515353589526,-4.87331040721628e-05,-5.4614030758481614e-05
arxiv,pubmed_central,0.001,-6.47746558275486e-05,-7.841979222877882e-06,-8.157209773019044e-06
arxiv,wikipedia_en,0.001,-0.00012174078388405007,-1.4738511808332078e-05,-1.5187388985813971e-05
arxiv,dm_mathematics,0.001,-0.0017863770127899414,-0.0002162230684041866,-0.00022107630977902468
arxiv,github,0.001,-2.0557302892854068e-05,-2.4887946388219007e-06,-2.7847916014131673e-06
arxiv,philpapers,0.001,-0.000844340805355337,-0.00010221081280503697,-0.00011247093480997942
arxiv,stackexchange,0.001,-0.0002909589894652953,-3.522413274259506e-05,-3.570142998539968e-05
arxiv,enron_emails,0.001,-0.0020567586863773357,-0.0002489418132083365,-0.00029094912608605445
arxiv,gutenberg_pg_19,0.001,-2.8344627042820036e-05,-3.4315731416434403e-06,-3.942762824588026e-06
arxiv,pile_cc,0.001,-0.00013393623401558585,-1.6214926107149807e-05,-1.655679179685632e-05
arxiv,ubuntu_irc,0.001,-0.0019407316752362291,-0.00023490171103413005,-0.00024153071507566876
arxiv,europarl,0.001,0.0002594391417725106,3.141039053078387e-05,3.124164819348468e-05
arxiv,hackernews,0.001,-0.0013171521847734624,-0.0001594372683202394,-0.0001670812433091214
arxiv,pubmed_abstracts,0.001,-7.239424937033334e-05,-8.764441304709436e-06,-9.20944091236461e-06
arxiv,uspto_backgrounds,0.001,-2.5791031934119246e-05,-3.1224203462798528e-06,-3.4934406014919975e-06
freelaw,arxiv,0.001,2.3240920675071663e-05,2.813705167969971e-06,2.496596309110324e-06
freelaw,nih_exporter,0.001,-0.00038162930597351874,-4.620036631086677e-05,-5.211743444937129e-05
freelaw,pubmed_central,0.001,-4.3852426442114734e-05,-5.309031669842312e-06,-5.66061346390872e-06
freelaw,wikipedia_en,0.001,-0.00010081855449772803,-1.2205599637660214e-05,-1.269079267670365e-05
freelaw,dm_mathematics,0.001,-0.0017654547834045076,-0.00021369118994973846,-0.00021857971346991436
freelaw,github,0.001,3.6492649346797634e-07,4.4180378910851914e-08,-2.881952923028431e-07
freelaw,philpapers,0.001,-0.0008234185759690149,-9.967834941093656e-05,-0.0001099743385008691
freelaw,stackexchange,0.001,-0.00027003676007986144,-3.269132567362831e-05,-3.3204833676289355e-05
freelaw,enron_emails,0.001,-0.0020358364569910137,-0.0002464101026169452,-0.00028845252977694407
freelaw,gutenberg_pg_19,0.001,-7.422397656497992e-06,-8.986029604862722e-07,-1.446166515477702e-06
freelaw,pile_cc,0.001,-0.00011301400463015199,-1.3682021511751685e-05,-1.4060195487745999e-05
freelaw,ubuntu_irc,0.001,-0.0019198094458507953,-0.00023236992841058068,-0.0002390341187665584
freelaw,europarl,0.001,0.00028036137115794446,3.3943539468062056e-05,3.373824450259501e-05
freelaw,hackernews,0.001,-0.0012962299553880285,-0.00015690509852639423,-0.00016458464700001108
freelaw,pubmed_abstracts,0.001,-5.1472019984899475e-05,-6.231498484776665e-06,-6.7128446032542865e-06
freelaw,uspto_backgrounds,0.001,-4.86880254868538e-06,-5.894485792801163e-07,-9.968442923816733e-07
nih_exporter,arxiv,0.001,0.0005098278679422918,6.172693898198744e-05,5.4614030758481614e-05
nih_exporter,freelaw,0.001,0.0004895004146057147,5.926566360159313e-05,5.211743444937129e-05
nih_exporter,pubmed_central,0.001,0.00044273452082510545,5.360323288661206e-05,4.6456820985462566e-05
nih_exporter,wikipedia_en,0.001,0.00038576839276949215,4.670584197574712e-05,3.942664177266764e-05
nih_exporter,dm_mathematics,0.001,-0.0012788678361363992,-0.0001548037908940536,-0.00016646227902054306
nih_exporter,github,0.001,0.00048695187376068816,5.895708371506103e-05,5.182923915706845e-05
nih_exporter,philpapers,0.001,-0.0003368316287026829,-4.077734560903323e-05,-5.785690405149782e-05
nih_exporter,stackexchange,0.001,0.00021655018718824692,2.621767145161158e-05,1.8912600773081932e-05
nih_exporter,enron_emails,0.001,-0.0015492495097237935,-0.00018752660779242092,-0.00023633509532757283
