数据,允许负系数,theta_Q,触界,n,RMSE,MAE,R2,Spearman
B8,False,8.73566605051621e-16,True,1704,1.1824549982229493,0.9846931801961669,-1.8755010533918686,0.30611307644336966
B8,True,-7.650495365523796,False,1704,0.7234055420826012,0.5609190533197017,-0.07623708152523712,0.9676851058309688
B7+B8,False,6.612682870606846e-14,True,2154,1.0559711570845849,0.8144933766531549,-0.6409269884448234,0.41069119792639774
B7+B8,True,-4.820255929705073,False,2154,0.7571657924879487,0.6001083891737026,0.1563406655733286,0.706023802272568
