变量,N_B,D_B,解析,有限差分,相对误差
N,1.0,20.0,-0.12034420579521836,-0.12034420580064874,4.512372102432839e-11
D,1.0,20.0,-0.007504652359754488,-0.007504652360657005,1.2026097057217146e-10
Q,1.0,20.0,-0.353114586633932,-0.3531145866375595,1.0272833059908568e-11
N,7.0,140.0,-0.008871685319832064,-0.008871685319711274,1.361528570966351e-11
D,7.0,140.0,-0.0006218647861730297,-0.0006218647860148759,2.543219610750917e-10
Q,7.0,140.0,-0.195835490976189,-0.19583549097923478,1.555277764298087e-11
N,70.0,1400.0,-0.0004055278675988221,-0.00040552786763546416,9.035649339968297e-11
D,70.0,1400.0,-3.264400980099983e-05,-3.2644009804817997e-05,1.1696378758253763e-10
Q,70.0,1400.0,-0.09788655011494284,-0.0978865501211068,6.297043082508138e-11
