Model,task,raw_accuracy,chance_baseline,normalized_score,file
01-ai/Yi-1.5-9B-Chat,leaderboard_musr_murder_mysteries,0.568,0.5,13.59999999999999,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-Chat/results_2024-06-17T09-46-28.414421.json
01-ai/Yi-1.5-9B-Chat,leaderboard_musr_object_placements,0.26171875,0.2,7.714843749999998,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-Chat/results_2024-06-17T09-46-28.414421.json
01-ai/Yi-1.5-9B-Chat,leaderboard_musr_team_allocation,0.448,0.3333333333333333,17.200000000000003,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-Chat/results_2024-06-17T09-46-28.414421.json
01-ai/Yi-1.5-9B-Chat-16K,leaderboard_musr_murder_mysteries,0.544,0.5,8.800000000000008,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-Chat-16K/results_2024-06-16T18-02-27.668102.json
01-ai/Yi-1.5-9B-Chat-16K,leaderboard_musr_object_placements,0.26171875,0.2,7.714843749999998,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-Chat-16K/results_2024-06-16T18-02-27.668102.json
01-ai/Yi-1.5-9B-Chat-16K,leaderboard_musr_team_allocation,0.424,0.3333333333333333,13.599999999999998,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-Chat-16K/results_2024-06-16T18-02-27.668102.json
01-ai/Yi-34B,leaderboard_musr_murder_mysteries,0.548,0.5,9.600000000000009,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B/results_2024-06-17T01-51-43.500501.json
01-ai/Yi-34B,leaderboard_musr_object_placements,0.3515625,0.2,18.945312499999996,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B/results_2024-06-17T01-51-43.500501.json
01-ai/Yi-34B,leaderboard_musr_team_allocation,0.336,0.3333333333333333,0.4000000000000058,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B/results_2024-06-17T01-51-43.500501.json
01-ai/Yi-34B-200K,leaderboard_musr_murder_mysteries,0.588,0.5,17.599999999999994,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B-200K/results_2024-06-17T01-54-37.398814.json
