tier,source,Model,actual,prediction,error
medium,Qwen2 MoE report,Qwen/Qwen2-57B-A14B-Instruct,33.015868823547095,27.317402572030325,-5.69846625151677
medium,Qwen2.5 report,Qwen/Qwen2.5-0.5B-Instruct,10.107543850719257,6.409414763838648,-3.6981290868806083
medium,Qwen2.5 report,Qwen/Qwen2.5-1.5B-Instruct,18.430509141644382,10.260040831232422,-8.17046831041196
medium,Qwen2.5 report,Qwen/Qwen2.5-14B-Instruct,41.30945747711163,24.818282038380577,-16.49117543873105
medium,Qwen2.5 report,Qwen/Qwen2.5-14B-Instruct-1M,41.559026792386994,24.818282038380577,-16.740744754006418
medium,Qwen2.5 report,Qwen/Qwen2.5-32B-Instruct,46.59714569921449,24.818282038380577,-21.77886366083391
medium,Qwen2.5 report,Qwen/Qwen2.5-72B-Instruct,47.98045991216864,24.818282038380577,-23.162177873788064
medium,Qwen2.5 report,Qwen/Qwen2.5-7B-Instruct,35.200108659947965,19.479897175251377,-15.720211484696588
medium,Qwen2.5 report,Qwen/Qwen2.5-7B-Instruct-1M,32.76394723937119,19.479897175251377,-13.284050064119814
medium,BLOOM paper,bigscience/bloom-7b1,3.795510241848182,11.385809977370592,7.590299735522409
medium,Gemma2 report,google/gemma-2-27b-it,36.17428251510342,27.204602083046165,-8.969680432057256
medium,Gemma2 report,google/gemma-2-2b-it,17.046939294966545,9.80405791223007,-7.242881382736476
medium,Gemma2 report,google/gemma-2-2b-jpn-it,17.11540570593849,9.80405791223007,-7.3113477937084195
medium,Gemma2 report,google/gemma-2-9b-it,32.07276025267082,20.445273555921787,-11.627486696749031
medium,Gemma report,google/gemma-7b-it,13.067087110466217,15.442818570272308,2.375731459806092
medium,Llama3 technical report,meta-llama/Meta-Llama-3-70B-Instruct,36.37222412927012,27.319340037673673,-9.05288409159645
medium,Llama3 technical report,meta-llama/Meta-Llama-3-8B-Instruct,23.908735693936837,27.319340037673673,3.4106043437368356
medium,Phi-1.5 paper,microsoft/phi-1,5.574318195377169,11.2489785963299,5.674660400952731
medium,Falcon technical report,tiiuae/falcon-40b-instruct,10.484506782098748,21.871659066343724,11.387152284244976
medium,Falcon technical report,tiiuae/falcon-7b-instruct,5.1165739086852,11.284189695306205,6.167615786621005
