Model,MuSR_rebuilt,complete,file,MUSR,type,S,date,difference
0-hero/Matter-0.2-7B-DPO,5.871874999999999,True,real_attachments/C_efficiency_evolution/detailed_results/0-hero_Matter-0.2-7B-DPO/results_2024-08-07T13-21-02.903091.json,5.871874999999999,chat_finetuned,8.906361301750291,2024-08-05,0.0
01-ai/Yi-1.5-34B,11.217187500000003,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B/results_2024-06-19T03-56-15.142347.json,11.217187500000003,pretrained,25.6464941942931,2024-06-12,0.0
01-ai/Yi-1.5-34B-32K,14.07786458333333,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-32K/results_2024-06-17T17-59-09.162276.json,14.07786458333333,pretrained,26.727912908508134,2024-06-12,0.0
01-ai/Yi-1.5-34B-Chat,13.058072916666665,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-Chat/results_2024-06-17T00-49-43.171619.json,13.058072916666664,chat_finetuned,33.35799367075618,2024-06-12,1.7763568394002505e-15
01-ai/Yi-1.5-34B-Chat-16K,13.736718750000001,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-Chat-16K/results_2024-07-17T11-40-22.183397.json,13.73671875,chat_finetuned,29.403554842710225,2024-07-15,1.7763568394002505e-15
01-ai/Yi-1.5-6B,13.509114583333334,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-6B/results_2024-06-17T14-53-45.170909.json,13.309114583333336,pretrained,16.745698054972127,2024-08-10,0.1999999999999975
01-ai/Yi-1.5-6B-Chat,14.704947916666669,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-6B-Chat/results_2024-06-17T10-38-31.759281.json,14.030468750000002,chat_finetuned,22.784006289829847,2024-10-22,0.6744791666666661
01-ai/Yi-1.5-9B,12.030989583333332,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B/results_2024-06-16T17-52-34.155462.json,12.030989583333332,pretrained,22.153901514184795,2024-06-12,0.0
01-ai/Yi-1.5-9B-32K,10.82682291666667,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-32K/results_2024-06-16T17-46-59.477573.json,10.82682291666667,pretrained,19.809786285875365,2024-06-12,0.0
01-ai/Yi-1.5-9B-Chat,12.838281249999996,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-Chat/results_2024-06-17T09-46-28.414421.json,12.838281249999996,chat_finetuned,29.530872220260978,2024-06-12,0.0
01-ai/Yi-1.5-9B-Chat-16K,10.03828125,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-Chat-16K/results_2024-06-16T18-02-27.668102.json,10.03828125,chat_finetuned,23.76539234993476,2024-06-12,0.0
01-ai/Yi-34B,9.648437500000004,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B/results_2024-06-17T01-51-43.500501.json,9.648437500000004,pretrained,22.373127018936653,2024-06-12,0.0
01-ai/Yi-34B-200K,9.414843749999998,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B-200K/results_2024-06-17T01-54-37.398814.json,9.414843749999998,pretrained,20.01347533597433,2024-06-12,0.0
01-ai/Yi-34B-Chat,8.363802083333338,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B-Chat/results_2025-02-13T18-27-04.338360.json,8.363802083333338,chat_finetuned,24.226662652803373,2024-06-12,0.0
01-ai/Yi-6B,7.044270833333335,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-6B/results_2024-06-16T17-47-09.271300.json,7.044270833333335,pretrained,13.611617485376058,2024-06-12,0.0
01-ai/Yi-6B-200K,16.842447916666668,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-6B-200K/results_2024-06-16T17-48-55.414532.json,16.842447916666668,pretrained,11.996098298832841,2024-06-12,0.0
01-ai/Yi-6B-Chat,3.5656250000000003,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-6B-Chat/results_2024-06-16T17-51-39.036011.json,3.5656250000000003,chat_finetuned,14.11765000523676,2024-06-12,0.0
01-ai/Yi-9B,8.909114583333334,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-9B/results_2024-06-17T09-47-58.683900.json,8.909114583333334,pretrained,17.811867367746064,2024-06-12,0.0
01-ai/Yi-9B-200K,12.109114583333332,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-9B-200K/results_2024-06-16T17-43-23.132103.json,12.109114583333332,pretrained,17.72955178611439,2024-06-12,0.0
01-ai/Yi-Coder-9B-Chat,7.963802083333333,True,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-Coder-9B-Chat/results_2024-09-14T00-02-12.867980.json,7.963802083333333,chat_finetuned,16.985989314863886,2024-09-12,0.0
1-800-LLMs/Qwen-2.5-14B-Hindi,14.350520833333334,True,real_attachments/C_efficiency_evolution/detailed_results/1-800-LLMs_Qwen-2.5-14B-Hindi/results_2025-02-06T06-30-20.641880.json,14.350520833333334,chat_finetuned,36.266177006668904,2025-02-06,0.0
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,15.432812499999995,True,real_attachments/C_efficiency_evolution/detailed_results/1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct/results_2025-02-06T11-27-58.645224.json,15.432812499999995,chat_finetuned,31.020777275634742,2025-02-06,0.0
1024m/PHI-4-Hindi,21.519270833333326,True,real_attachments/C_efficiency_evolution/detailed_results/1024m_PHI-4-Hindi/results_2025-02-06T05-43-08.878637.json,21.519270833333326,chat_finetuned,27.48785095027712,2025-02-06,0.0
1024m/QWEN-14B-B100,9.883333333333335,True,real_attachments/C_efficiency_evolution/detailed_results/1024m_QWEN-14B-B100/results_2025-02-06T10-49-32.966803.json,9.883333333333336,chat_finetuned,41.91906679224076,2025-02-06,-1.7763568394002505e-15
152334H/miqu-1-70b-sf,17.209374999999998,True,real_attachments/C_efficiency_evolution/detailed_results/152334H_miqu-1-70b-sf/results_2024-07-26T02-32-43.573766.json,,,,,
1TuanPham/T-VisStar-7B-v0.1,13.554166666666669,True,real_attachments/C_efficiency_evolution/detailed_results/1TuanPham_T-VisStar-7B-v0.1/results_2024-09-21T10-25-05.082341.json,13.554166666666667,chat_finetuned,19.144808610895357,2024-09-22,1.7763568394002505e-15
1TuanPham/T-VisStar-v0.1,13.554166666666669,True,real_attachments/C_efficiency_evolution/detailed_results/1TuanPham_T-VisStar-v0.1/results_2024-09-21T08-53-27.413933.json,13.554166666666667,chat_finetuned,19.144808610895357,2024-09-20,1.7763568394002505e-15
3rd-Degree-Burn/L-3.1-Science-Writer-8B,11.693489583333331,True,real_attachments/C_efficiency_evolution/detailed_results/3rd-Degree-Burn_L-3.1-Science-Writer-8B/results_2024-11-20T00-17-49.945335.json,,,,,
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,0.7812499999999996,True,real_attachments/C_efficiency_evolution/detailed_results/3rd-Degree-Burn_Llama-3.1-8B-Squareroot/results_2024-10-10T16-33-29.207911.json,0.7812499999999996,merge,11.223740793316347,2024-10-10,0.0
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,1.7578124999999993,True,real_attachments/C_efficiency_evolution/detailed_results/3rd-Degree-Burn_Llama-3.1-8B-Squareroot-v1/results_2024-11-10T09-13-13.695538.json,,,,,
3rd-Degree-Burn/Llama-Squared-8B,1.9518229166666672,True,real_attachments/C_efficiency_evolution/detailed_results/3rd-Degree-Burn_Llama-Squared-8B/results_2024-10-08T16-24-46.765820.json,,,,,
4season/final_model_test_v2,12.430989583333334,True,real_attachments/C_efficiency_evolution/detailed_results/4season_final_model_test_v2/results_2024-07-25T15-13-01.854583.json,12.430989583333334,chat_finetuned,23.086235043644052,2024-06-27,0.0
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,6.150000000000006,True,real_attachments/C_efficiency_evolution/detailed_results/AALF_FuseChat-Llama-3.1-8B-Instruct-preview/results_2024-11-20T12-47-00.610130.json,6.150000000000006,chat_finetuned,28.56857495894073,2024-11-20,0.0
AALF/FuseChat-Llama-3.1-8B-SFT-preview,9.749999999999998,True,real_attachments/C_efficiency_evolution/detailed_results/AALF_FuseChat-Llama-3.1-8B-SFT-preview/results_2024-11-21T13-45-14.605333.json,,,,,
AALF/gemma-2-27b-it-SimPO-37K,1.5950520833333328,True,real_attachments/C_efficiency_evolution/detailed_results/AALF_gemma-2-27b-it-SimPO-37K/results_2024-09-01T02-53-57.422115.json,1.5950520833333328,chat_finetuned,9.512077380763676,2024-09-05,0.0
AALF/gemma-2-27b-it-SimPO-37K-100steps,0.7812499999999996,True,real_attachments/C_efficiency_evolution/detailed_results/AALF_gemma-2-27b-it-SimPO-37K-100steps/results_2024-09-27T18-43-00.611233.json,0.7812499999999996,chat_finetuned,10.246803363324455,2024-09-21,0.0
AELLM/gemma-2-aeria-infinity-9b,9.046093750000004,True,real_attachments/C_efficiency_evolution/detailed_results/AELLM_gemma-2-aeria-infinity-9b/results_2024-10-09T11-48-07.657590.json,,,,,
AELLM/gemma-2-lyco-infinity-9b,8.912760416666671,True,real_attachments/C_efficiency_evolution/detailed_results/AELLM_gemma-2-lyco-infinity-9b/results_2024-10-10T12-58-52.149709.json,,,,,
AGI-0/Art-v0-3B,7.912760416666667,True,real_attachments/C_efficiency_evolution/detailed_results/AGI-0_Art-v0-3B/results_2025-01-18T12-23-40.344038.json,,,,,
AGI-0/Artificium-llama3.1-8B-001,5.165625000000001,True,real_attachments/C_efficiency_evolution/detailed_results/AGI-0_Artificium-llama3.1-8B-001/results_2024-09-11T00-52-31.543315.json,,,,,
AGI-0/smartllama3.1-8B-001,14.397395833333333,True,real_attachments/C_efficiency_evolution/detailed_results/AGI-0_smartllama3.1-8B-001/results_2024-11-25T22-15-59.091478.json,,,,,
AI-MO/NuminaMath-7B-CoT,0.8263020833333333,True,real_attachments/C_efficiency_evolution/detailed_results/AI-MO_NuminaMath-7B-CoT/results_2024-09-11T22-04-44.864778.json,0.8263020833333333,chat_finetuned,16.118457218023075,2024-09-10,0.0
AI-MO/NuminaMath-7B-TIR,4.199218749999999,True,real_attachments/C_efficiency_evolution/detailed_results/AI-MO_NuminaMath-7B-TIR/results_2024-07-25T13-40-31.863736.json,4.199218749999999,chat_finetuned,14.182289143173433,2024-07-11,0.0
