scenario,horizon_months,target_date,technical_half_life_months,forecast,lo,hi,compute_budget,loss,scale_logit_gain,technology_logit_gain,N_B,D_B,N_extrapolated,D_extrapolated,past_last_matched_release_years,interval
compute_frozen,0,2025-03-13,12.0,38.72621187989484,22.947610985139754,57.15934878755625,3.303422000000004e+24,1.8694375392408609,-0.0,0.0,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
compute_frozen,0,2025-03-13,24.0,38.72621187989484,22.947610985139754,57.15934878755625,3.303422000000004e+24,1.8694375392408609,-0.0,0.0,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
compute_frozen,0,2025-03-13,inf,38.72621187989484,22.947610985139754,57.15934878755625,3.303422000000004e+24,1.8694375392408609,-0.0,0.0,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
compute_frozen,12,2026-03-13,12.0,43.829933859927465,22.247995444103285,71.34249006435907,3.303422000000004e+24,1.8694375392408609,-0.0,0.21076849254779828,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
compute_frozen,12,2026-03-13,24.0,44.72211437228281,22.126430127809307,73.79905509450973,3.303422000000004e+24,1.8694375392408609,-0.0,0.24693064882713525,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
compute_frozen,12,2026-03-13,inf,45.84340770978862,21.97499425034389,76.67548373769982,3.303422000000004e+24,1.8694375392408609,-0.0,0.29218717272075245,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
compute_frozen,24,2027-03-13,12.0,46.43897103540555,21.895117514496402,78.10046490327646,3.303422000000004e+24,1.8694375392408609,-0.0,0.3161527388216975,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
compute_frozen,24,2027-03-13,24.0,49.06764593467165,21.546472017356898,83.40193461286835,3.303422000000004e+24,1.8694375392408609,-0.0,0.42153698509559656,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
compute_frozen,24,2027-03-13,inf,53.13435648036147,20.95365739126331,89.38121902450371,3.303422000000004e+24,1.8694375392408609,-0.0,0.5843743454415049,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
quarter_historical_growth,0,2025-03-13,12.0,38.72621187989484,22.947610985139754,57.15934878755625,3.303422000000004e+24,1.8694375392408609,-0.0,0.0,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
