rho,scale_coefficient,time_coefficient,start_score,end_score,scale_points,technology_points,total_points,scale_share,technology_share,additivity_error
-0.6,2.007277836523502,0.03128975516767066,10.174494754518745,15.699998590047755,5.143603507316948,0.3819003282120619,5.52550383552901,0.9308840714657655,0.06911592853423454,0.0
-0.5,1.8254849530483481,0.06818250502397379,9.886869121692818,15.32055931542532,4.611734193790072,0.8219559999424302,5.433690193732502,0.8487296900197739,0.15127030998022606,0.0
-0.4,1.6771079407751979,0.0982938927393632,9.671251684321403,15.03242557333549,4.188151665938323,1.1730222230757636,5.361173889014086,0.7812004894152984,0.21879951058470165,0.0
-0.3,1.5486993882197733,0.12435291396328645,9.498725038174069,14.799521479493462,3.829564081739936,1.4712323595794574,5.3007964413193935,0.7224506966328138,0.2775493033671862,0.0
-0.2,1.4324935887174897,0.14793552848007205,9.35395413824205,14.602419328000355,3.511542599430511,1.7369225903277936,5.248465189758305,0.6690608535011013,0.33093914649889866,0.0
-0.10000000000000003,1.323385716863641,0.17007770119173252,9.227918523252574,14.429543085288177,3.218539170012029,1.9830853920235736,5.201624562035603,0.6187565310850668,0.38124346891493327,0.0
0.0,1.217559474575308,0.19155390537719286,9.114875861322947,14.273433462452115,2.939433172077342,2.219124429051826,5.158557601129168,0.5698168750570747,0.4301831249429253,0.0
0.09999999999999998,1.111733232286975,0.21303010956265317,9.010934585663472,14.128969479131367,2.6651849157054057,2.4528499777624893,5.118034893467895,0.5207437954569163,0.47925620454308376,0.0
0.19999999999999996,1.0026253604331263,0.23517228227431367,8.913334734171773,13.992462835636982,2.38730083733745,2.6918272641277587,5.0791281014652085,0.47002178122831156,0.5299782187716884,0.0
0.29999999999999993,0.8864195609308427,0.25875489679109925,8.820099667839731,13.861216708427557,2.0964582917646313,2.944658748823195,5.041117040587826,0.41587177502234124,0.5841282249776587,0.0
0.3999999999999999,0.7580110083754182,0.2848139180150225,8.729966972301769,13.733444590721046,1.7807301202003654,3.2227474982189115,5.003477618419277,0.355898488212473,0.6441015117875271,0.0
0.4999999999999999,0.609633996102268,0.3149253057304119,8.64272704597352,13.608734911673903,1.4224833565111705,3.5435245091892114,4.966007865700382,0.28644404015871416,0.7135559598412858,0.0
0.6,0.4278411126271142,0.3518180555867151,8.56063543951641,13.489982920391984,0.9916055861721214,3.9377418947034526,4.929347480875574,0.20116366111726977,0.7988363388827302,0.0
