C,state,relative_loss_error
5.88e+23,R2,0.0
8.186539148257312e+23,R2,0.0
1.1397861092848553e+24,R2,0.0
1.58688836807829e+24,R2,0.0
2.209374787276694e+24,R2,0.0
3.076043059390018e+24,R2,0.0
4.2826780488812163e+24,R2,0.0
5.962638011317735e+24,R2,0.0
8.301593453493149e+24,R2,0.0
1.1558047585023504e+25,R2,0.0
1.6091906297995869e+25,R2,0.0
2.240425525146775e+25,R2,0.0
3.1192740255729593e+25,R2,0.0
4.342867164029793e+25,R2,0.0
6.046437424151562e+25,R2,0.0
