type,omitted_task,forecast_12m,time_slope,N_slope
chat_finetuned,none,55.69152014553214,0.6959387888756694,0.4721041582699952
chat_finetuned,IFEval,53.84885258219303,0.8315461019919811,0.5717497250394562
chat_finetuned,BBH,54.70831361205738,0.7419321845849807,0.4232257342941054
chat_finetuned,MATH Lvl 5,48.33653287539891,0.4072484735881736,0.4557037002680924
chat_finetuned,GPQA,61.47666751345573,0.7316984805721606,0.4750326288782938
chat_finetuned,MUSR,61.1880397024344,0.7316624005907783,0.494567421406915
chat_finetuned,MMLU-PRO,55.53137029871324,0.7395707573680478,0.44575232154839234
pretrained,none,23.181207110300658,0.26748468226812394,0.3639805172851719
pretrained,IFEval,14.898484387378675,0.024746333081333755,0.4470652006721203
pretrained,BBH,25.33138647310562,0.46595967584539566,0.282228514213052
pretrained,MATH Lvl 5,24.896118980739704,0.2520427917496413,0.3460188357560972
pretrained,GPQA,27.575522497176376,0.34737631444255407,0.34893830398094067
pretrained,MUSR,30.031651449502505,0.4867728097905141,0.3845052033889015
pretrained,MMLU-PRO,21.405689766938398,0.2452292084596703,0.3061379723804779
