D_factor,pattern,start_score,end_score,scale_points,technology_points,total_points,scale_share,technology_share,additivity_error
0.5,uniform,9.116268779166154,14.273781228966136,3.1506486483872678,2.006863801412715,5.157512449799983,0.6108853209863712,0.38911467901362884,0.0
0.5,later_models_only,9.09424603011252,14.247750744923337,2.5644944594087766,2.58901025540204,5.153504714810817,0.4976214443034459,0.5023785556965541,0.0
1.0,uniform,9.114875861322947,14.273433462452115,2.939433172077342,2.219124429051826,5.158557601129168,0.5698168750570747,0.4301831249429253,0.0
1.0,later_models_only,9.114875861322947,14.273433462452115,2.939433172077342,2.219124429051826,5.158557601129168,0.5698168750570747,0.4301831249429253,0.0
2.0,uniform,9.113455012873395,14.270291801701664,2.725294758148592,2.431542030679677,5.156836788828269,0.5284818716878241,0.47151812831217593,0.0
2.0,later_models_only,9.144952867063843,14.298225628227403,3.2145881844984947,1.9386845766650653,5.15327276116356,0.6237954661985855,0.37620453380141455,0.0
