Model,date,type,N,license,exclusion
ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,2024-09-19,chat_finetuned,8.03,llama3,
Arthur-LAGACHERIE/Precis-1B-Instruct,2025-01-19,chat_finetuned,1.236,llama3.2,
Artples/L-MChat-7b,2024-07-07,merge,7.242,apache-2.0,
Artples/L-MChat-Small,2024-07-07,merge,2.78,mit,
Aryanne/QwentileSwap,2025-02-05,merge,32.764,apache-2.0,
Aryanne/SHBA,2025-01-11,merge,8.03,,license_unverified;
Aryanne/SuperHeart,2024-09-23,merge,8.03,llama3.1,
AtAndDev/Qwen2.5-1.5B-continuous-learnt,2024-10-13,chat_finetuned,1.544,,license_unverified;
AtAndDev/Qwen2.5-1.5B-continuous-learnt,2024-10-18,chat_finetuned,1.544,,license_unverified;
Ateron/Glowing-Forest-12B,2025-03-06,merge,12.248,,license_unverified;
Ateron/Lotus-Magpic,2025-03-05,merge,12.248,,license_unverified;
Ateron/Way_of_MagPicaro,2025-03-05,merge,12.248,,license_unverified;
AuraIndustries/Aura-4B,2024-12-13,chat_finetuned,4.513,apache-2.0,
AuraIndustries/Aura-8B,2024-12-10,chat_finetuned,8.03,apache-2.0,
AuraIndustries/Aura-MoE-2x4B,2024-12-14,chat_finetuned,7.231,,license_unverified;
AuraIndustries/Aura-MoE-2x4B-v2,2024-12-15,chat_finetuned,7.231,,license_unverified;
Aurel9/testmerge-7b,2024-11-16,merge,7.242,,license_unverified;
Ayush-Singh/Llama1B-sft-2,2025-02-05,chat_finetuned,1.236,,license_unverified;
Azure99/Blossom-V6-14B,2025-01-30,chat_finetuned,14.77,apache-2.0,
Azure99/Blossom-V6-7B,2025-01-30,chat_finetuned,7.616,apache-2.0,
Azure99/blossom-v5-32b,2024-09-21,chat_finetuned,32.512,apache-2.0,
Azure99/blossom-v5-llama3-8b,2024-09-21,chat_finetuned,8.03,apache-2.0,
Azure99/blossom-v5.1-34b,2024-07-27,chat_finetuned,34.389,apache-2.0,
Azure99/blossom-v5.1-9b,2024-07-24,chat_finetuned,8.829,apache-2.0,
BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,2024-09-05,chat_finetuned,9.242,,license_unverified;
BAAI/Infinity-Instruct-3M-0613-Llama3-70B,2024-06-28,chat_finetuned,70.554,apache-2.0,
BAAI/Infinity-Instruct-3M-0613-Mistral-7B,2024-06-27,chat_finetuned,7.242,apache-2.0,
BAAI/Infinity-Instruct-3M-0625-Llama3-70B,2024-08-30,chat_finetuned,70.554,apache-2.0,
BAAI/Infinity-Instruct-3M-0625-Llama3-8B,2024-07-13,chat_finetuned,8.03,apache-2.0,
BAAI/Infinity-Instruct-3M-0625-Mistral-7B,2024-08-05,chat_finetuned,7.242,apache-2.0,
BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,2024-08-05,chat_finetuned,7.616,apache-2.0,
BAAI/Infinity-Instruct-3M-0625-Yi-1.5-9B,2024-08-05,chat_finetuned,8.829,apache-2.0,
BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,2024-08-05,chat_finetuned,8.03,llama3.1,
BAAI/Infinity-Instruct-7M-0729-mistral-7B,2024-08-05,chat_finetuned,7.242,apache-2.0,
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,2024-09-26,chat_finetuned,70.554,llama3.1,
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,2024-08-29,chat_finetuned,8.03,llama3.1,
BAAI/Infinity-Instruct-7M-Gen-mistral-7B,2024-08-29,chat_finetuned,7.242,apache-2.0,
BAAI/OPI-Llama-3.1-8B-Instruct,2024-09-21,chat_finetuned,8.03,llama3.1,
BEE-spoke-data/Meta-Llama-3-8Bee,2024-07-04,chat_finetuned,8.03,llama3,
BEE-spoke-data/smol_llama-101M-GQA,2024-07-06,pretrained,0.101,apache-2.0,
BEE-spoke-data/smol_llama-220M-GQA,2024-06-26,pretrained,0.218,apache-2.0,
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,2024-06-26,continued,0.218,apache-2.0,
BEE-spoke-data/smol_llama-220M-openhermes,2024-09-21,chat_finetuned,0.218,apache-2.0,
BEE-spoke-data/tFINE-900m-e16-d32-flan,2024-09-13,chat_finetuned,0.887,apache-2.0,
BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,2024-09-14,chat_finetuned,0.887,apache-2.0,
BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,2024-09-22,chat_finetuned,0.887,apache-2.0,
BEE-spoke-data/tFINE-900m-instruct-orpo,2024-09-23,chat_finetuned,0.887,apache-2.0,
BSC-LT/salamandra-7b,2024-11-22,pretrained,7.768,apache-2.0,
BSC-LT/salamandra-7b-instruct,2024-11-22,pretrained,7.768,apache-2.0,
Ba2han/Llama-Phi-3_DoRA,2024-06-26,chat_finetuned,3.821,mit,
