Model,date,type,N,license,exclusion
Lil-R/2_PRYMMAL-ECE-7B-SLERP,2024-11-04,merge,7.616,apache-2.0,
Lil-R/2_PRYMMAL-ECE-7B-SLERP-V1,2024-10-28,merge,7.616,apache-2.0,
Lil-R/2_PRYMMAL-ECE-7B-SLERP-V2,2024-10-28,merge,7.616,apache-2.0,
Lil-R/2_PRYMMAL-ECE-7B-SLERP-V3,2024-10-28,merge,7.616,,license_unverified;
Lil-R/PRYMMAL-ECE-1B-SLERP-V1,2024-10-29,merge,1.777,apache-2.0,
Lil-R/PRYMMAL-ECE-7B-SLERP-V8,2024-10-28,merge,7.616,apache-2.0,
LilRg/10PRYMMAL-3B-slerp,2024-09-24,merge,3.821,apache-2.0,
LilRg/ECE-1B-merge-PRYMMAL,2024-10-07,merge,1.777,apache-2.0,
LilRg/ECE_Finetunning,2024-09-28,chat_finetuned,16.061,apache-2.0,
LilRg/PRYMMAL-6B-slerp,2024-09-24,merge,3.293,apache-2.0,
LilRg/PRYMMAL-ECE-7B-SLERP-V3,2024-10-26,merge,7.616,,license_unverified;
LilRg/PRYMMAL-ECE-7B-SLERP-V4,2024-10-26,merge,7.616,,license_unverified;
LilRg/PRYMMAL-ECE-7B-SLERP-V5,2024-10-26,merge,7.616,,license_unverified;
LilRg/PRYMMAL-ECE-7B-SLERP-V6,2024-10-26,merge,7.616,,license_unverified;
LilRg/PRYMMAL-ECE-7B-SLERP-V7,2024-10-26,merge,7.616,,license_unverified;
LilRg/PRYMMAL-slerp-Merge,2024-09-24,merge,3.821,apache-2.0,
LimYeri/CodeMind-Llama3-8B-unsloth_v2-merged,2024-08-28,chat_finetuned,8.03,apache-2.0,
LimYeri/CodeMind-Llama3-8B-unsloth_v3-merged,2024-08-28,chat_finetuned,8.03,,license_unverified;
LimYeri/CodeMind-Llama3-8B-unsloth_v4-one-DPO-merged,2024-08-28,chat_finetuned,8.03,apache-2.0,
LimYeri/CodeMind-Llama3-8B-unsloth_v4-one-merged,2024-08-28,chat_finetuned,8.03,apache-2.0,
LimYeri/CodeMind-Llama3.1-8B-unsloth-merged,2024-08-31,chat_finetuned,8.03,mit,
Locutusque/CollectiveLM-Falcon-3-7B,2025-01-08,chat_finetuned,7.456,,license_unverified;
Locutusque/Hercules-6.0-Llama-3.1-8B,2024-09-26,chat_finetuned,8.03,llama3.1,
Locutusque/Hercules-6.1-Llama-3.1-8B,2024-10-01,chat_finetuned,8.03,llama3.1,
Locutusque/Llama-3-NeuralHercules-5.0-8B,2024-06-26,chat_finetuned,8.03,llama3,
Locutusque/Llama-3-Yggdrasil-2.0-8B,2024-06-26,merge,8.03,,license_unverified;
Locutusque/TinyMistral-248M-v2.5,2024-09-17,continued,0.248,apache-2.0,
Luni/StarDust-12b-v1,2024-09-03,merge,12.248,apache-2.0,
Luni/StarDust-12b-v2,2024-09-03,merge,12.248,apache-2.0,
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v3,2025-02-18,merge,14.766,,license_unverified;
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v4,2025-02-19,chat_finetuned,14.766,apache-2.0,
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v5,2025-02-20,chat_finetuned,14.766,apache-2.0,
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v6,2025-02-25,chat_finetuned,14.766,,license_unverified;
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v6-cpt,2025-02-26,chat_finetuned,14.766,,license_unverified;
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v7,2025-02-28,merge,14.766,,license_unverified;
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v7-rebase,2025-02-28,merge,14.766,,license_unverified;
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v8,2025-03-09,merge,14.766,apache-2.0,
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v8.5,2025-02-28,merge,14.766,,license_unverified;
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v8.6,2025-03-01,merge,14.766,,license_unverified;
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v8.7,2025-03-09,merge,14.766,apache-2.0,
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v8.8,2025-03-01,merge,14.766,,license_unverified;
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v8.9,2025-03-09,merge,14.766,apache-2.0,
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v9,2025-03-07,merge,14.766,,license_unverified;
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v9-stock,2025-03-07,merge,14.766,,license_unverified;
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v9.1,2025-03-10,merge,14.766,,license_unverified;
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v9.2,2025-03-13,merge,14.766,apache-2.0,
Lunzima/NQLSG-Qwen2.5-14B-OriginalFusion,2025-03-01,merge,14.766,,license_unverified;
Lyte/Llama-3.1-8B-Instruct-Reasoner-1o1_v0.3,2024-09-17,chat_finetuned,8.0,,license_unverified;
Lyte/Llama-3.2-1B-Instruct-COT-RL-Expriement1-EP04,2024-09-26,chat_finetuned,1.236,,license_unverified;
Lyte/Llama-3.2-3B-Overthinker,2024-10-18,chat_finetuned,3.213,apache-2.0,
M4-ai/TinyMistral-248M-v3,2024-10-18,pretrained,0.248,apache-2.0,
MEscriva/ECE-PRYMMAL-0.5B-FT-V5-MUSR-Mathis,2024-11-19,chat_finetuned,0.63,,license_unverified;
MLP-KTLim/llama-3-Korean-Bllossom-8B,2024-07-09,chat_finetuned,8.03,llama3,
MTSAIR/Cotype-Nano,2024-12-01,chat_finetuned,1.544,other,license_unverified;
MTSAIR/MultiVerse_70B,2024-06-29,chat_finetuned,72.289,other,license_unverified;
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.1,2024-09-17,chat_finetuned,8.03,llama3,
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.3,2024-08-06,chat_finetuned,8.03,llama3,
Magpie-Align/Llama-3-8B-Magpie-Align-v0.1,2024-07-03,chat_finetuned,8.03,llama3,
Magpie-Align/Llama-3-8B-Magpie-Align-v0.1,2024-07-03,chat_finetuned,8.03,llama3,
Magpie-Align/Llama-3-8B-Magpie-Align-v0.3,2024-08-06,chat_finetuned,8.03,llama3,
Magpie-Align/Llama-3.1-8B-Magpie-Align-SFT-v0.1,2024-09-17,chat_finetuned,8.03,llama3.1,
Magpie-Align/Llama-3.1-8B-Magpie-Align-v0.1,2024-09-17,chat_finetuned,8.03,llama3.1,
Magpie-Align/MagpieLM-8B-Chat-v0.1,2024-09-19,chat_finetuned,8.03,llama3.1,
Magpie-Align/MagpieLM-8B-SFT-v0.1,2024-09-19,chat_finetuned,8.03,llama3.1,
MagusCorp/grpo_lora_enem_llama3_7b,2025-02-11,merge,8.03,apache-2.0,
ManoloPueblo/ContentCuisine_1-7B-slerp,2024-11-12,merge,7.242,,license_unverified;
ManoloPueblo/LLM_MERGE_CC2,2024-11-12,merge,7.242,apache-2.0,
ManoloPueblo/LLM_MERGE_CC3,2024-11-12,merge,7.242,apache-2.0,
MarinaraSpaghetti/NemoReRemix-12B,2024-09-17,merge,12.248,,license_unverified;
MarinaraSpaghetti/Nemomix-v4.0-12B,2024-08-02,merge,12.248,,license_unverified;
Marsouuu/MiniMathExpert-2_61B-ECE-PRYMMAL-Martial,2024-10-06,merge,2.614,apache-2.0,
Marsouuu/MiniQwenMathExpert-ECE-PRYMMAL-Martial,2024-10-07,merge,1.777,,license_unverified;
Marsouuu/MistralBase-4x7B-MoE-ECE-PRYMMAL-Martial,2024-10-03,merge,24.16,apache-2.0,
Marsouuu/general3B-ECE-PRYMMAL-Martial,2024-10-23,merge,3.821,apache-2.0,
Marsouuu/general3Bv2-ECE-PRYMMAL-Martial,2024-11-06,chat_finetuned,7.616,apache-2.0,
Marsouuu/lareneg1_78B-ECE-PRYMMAL-Martial,2024-10-23,merge,1.777,apache-2.0,
Marsouuu/lareneg3B-ECE-PRYMMAL-Martial,2024-11-06,merge,3.821,apache-2.0,
Marsouuu/lareneg3Bv2-ECE-PRYMMAL-Martial,2024-11-06,merge,7.616,apache-2.0,
MaziyarPanahi/Calme-4x7B-MoE-v0.1,2024-08-05,merge,24.154,apache-2.0,
MaziyarPanahi/Calme-4x7B-MoE-v0.2,2024-08-05,merge,24.154,apache-2.0,
MaziyarPanahi/Llama-3-70B-Instruct-v0.1,2024-06-26,chat_finetuned,70.554,llama3,
MaziyarPanahi/Llama-3-8B-Instruct-v0.10,2024-06-26,chat_finetuned,8.03,other,license_unverified;
MaziyarPanahi/Llama-3-8B-Instruct-v0.8,2024-07-11,chat_finetuned,8.03,other,license_unverified;
MaziyarPanahi/Llama-3-8B-Instruct-v0.9,2024-08-06,chat_finetuned,8.03,other,license_unverified;
MaziyarPanahi/Qwen1.5-MoE-A2.7B-Wikihow,2024-09-12,chat_finetuned,14.316,apache-2.0,
MaziyarPanahi/Qwen2-7B-Instruct-v0.1,2024-07-07,chat_finetuned,7.616,apache-2.0,
MaziyarPanahi/Qwen2-7B-Instruct-v0.8,2024-07-07,chat_finetuned,7.616,apache-2.0,
MaziyarPanahi/calme-2.1-llama3.1-70b,2024-07-24,chat_finetuned,70.554,,license_unverified;
MaziyarPanahi/calme-2.1-phi3-4b,2024-06-26,chat_finetuned,3.821,mit,
MaziyarPanahi/calme-2.1-phi3.5-4b,2024-08-23,chat_finetuned,3.821,mit,
MaziyarPanahi/calme-2.1-qwen2-72b,2024-06-26,chat_finetuned,72.699,other,license_unverified;
MaziyarPanahi/calme-2.1-qwen2-7b,2024-09-18,chat_finetuned,7.616,apache-2.0,
MaziyarPanahi/calme-2.1-qwen2.5-72b,2024-09-26,chat_finetuned,72.7,other,license_unverified;
MaziyarPanahi/calme-2.1-rys-78b,2024-08-08,chat_finetuned,77.965,mit,
MaziyarPanahi/calme-2.2-llama3-70b,2024-06-26,chat_finetuned,70.554,llama3,
MaziyarPanahi/calme-2.2-llama3.1-70b,2024-09-09,chat_finetuned,70.554,,license_unverified;
MaziyarPanahi/calme-2.2-phi3-4b,2024-06-26,chat_finetuned,3.821,mit,
MaziyarPanahi/calme-2.2-qwen2-72b,2024-08-06,chat_finetuned,72.706,other,license_unverified;
MaziyarPanahi/calme-2.2-qwen2-7b,2024-09-18,chat_finetuned,7.616,apache-2.0,
MaziyarPanahi/calme-2.2-qwen2.5-72b,2024-09-26,chat_finetuned,72.7,other,license_unverified;
MaziyarPanahi/calme-2.2-rys-78b,2024-08-08,chat_finetuned,77.965,mit,
MaziyarPanahi/calme-2.3-llama3-70b,2024-08-30,chat_finetuned,70.554,llama3,
MaziyarPanahi/calme-2.3-llama3.1-70b,2024-09-18,chat_finetuned,70.554,,license_unverified;
MaziyarPanahi/calme-2.3-phi3-4b,2024-06-26,chat_finetuned,3.821,mit,
MaziyarPanahi/calme-2.3-qwen2-72b,2024-09-15,chat_finetuned,72.706,other,license_unverified;
MaziyarPanahi/calme-2.3-qwen2-7b,2024-09-18,chat_finetuned,7.616,apache-2.0,
MaziyarPanahi/calme-2.3-rys-78b,2024-09-03,chat_finetuned,77.965,mit,
MaziyarPanahi/calme-2.4-llama3-70b,2024-06-26,chat_finetuned,70.554,llama3,
MaziyarPanahi/calme-2.4-qwen2-7b,2024-09-18,chat_finetuned,7.616,apache-2.0,
MaziyarPanahi/calme-2.4-rys-78b,2024-09-03,chat_finetuned,77.965,mit,
MaziyarPanahi/calme-2.5-qwen2-7b,2024-09-29,chat_finetuned,7.616,apache-2.0,
MaziyarPanahi/calme-2.6-qwen2-7b,2024-09-29,chat_finetuned,7.616,apache-2.0,
MaziyarPanahi/calme-2.7-qwen2-7b,2024-09-18,chat_finetuned,7.616,apache-2.0,
MaziyarPanahi/calme-3.1-baguette-3b,2024-11-08,chat_finetuned,3.085,other,license_unverified;
MaziyarPanahi/calme-3.1-instruct-3b,2024-11-08,chat_finetuned,3.085,other,license_unverified;
MaziyarPanahi/calme-3.1-instruct-78b,2024-11-27,chat_finetuned,77.965,other,license_unverified;
MaziyarPanahi/calme-3.1-llamaloi-3b,2024-11-08,chat_finetuned,3.213,llama3.2,
MaziyarPanahi/calme-3.2-baguette-3b,2024-11-08,chat_finetuned,3.085,other,license_unverified;
MaziyarPanahi/calme-3.2-instruct-3b,2024-11-08,chat_finetuned,3.086,other,license_unverified;
MaziyarPanahi/calme-3.2-instruct-78b,2024-11-28,chat_finetuned,77.965,other,license_unverified;
MaziyarPanahi/calme-3.3-baguette-3b,2024-11-08,chat_finetuned,3.086,other,license_unverified;
MaziyarPanahi/calme-3.3-instruct-3b,2024-11-08,chat_finetuned,3.086,other,license_unverified;
Minami-su/Amara-o1-7B-Qwen,2025-01-08,chat_finetuned,7.616,apache-2.0,
Minami-su/Amara-o2-7B-Qwen,2025-01-09,chat_finetuned,7.616,apache-2.0,
Minami-su/test-7B-00,2024-12-24,chat_finetuned,7.616,,license_unverified;
Minami-su/test-7B-01,2024-12-24,chat_finetuned,7.616,,license_unverified;
Minami-su/test-v2-7B-00,2024-12-25,chat_finetuned,7.616,,license_unverified;
ModelCloud/Llama-3.2-1B-Instruct-gptqmodel-4bit-vortex-v1,2025-01-02,chat_finetuned,5.453,llama3.2,
ModelSpace/GemmaX2-28-9B-v0.1,2025-02-24,chat_finetuned,10.159,gemma,
MoonRide/Llama-3.2-3B-Khelavaster,2025-03-10,merge,3.607,llama3.2,
Mostafa8Mehrabi/llama-3.2-1b-Insomnia-ChatBot-merged,2025-03-10,merge,1.236,,license_unverified;
MrRobotoAI/MrRoboto-ProLong-8b-v4i,2024-12-29,merge,4.015,,license_unverified;
MrRobotoAI/MrRoboto-ProLongBASE-pt8-unaligned-8b,2024-12-29,merge,4.015,,license_unverified;
MultivexAI/Gladiator-Mini-Exp-1211-3B,2024-12-11,chat_finetuned,3.213,mit,
MultivexAI/Gladiator-Mini-Exp-1221-3B-Instruct,2024-12-20,chat_finetuned,3.213,mit,
MultivexAI/Gladiator-Mini-Exp-1221-3B-Instruct-V2,2024-12-21,chat_finetuned,3.213,mit,
MultivexAI/Gladiator-Mini-Exp-1222-3B-Instruct,2024-12-22,chat_finetuned,3.213,mit,
MultivexAI/Phi-3.5-Mini-Instruct-MultiVex-v0.25-GGUF,2024-11-13,chat_finetuned,3.821,,license_unverified;
Mxode/NanoLM-0.3B-Instruct-v1,2024-09-05,chat_finetuned,0.315,gpl-3.0,
Mxode/NanoLM-0.3B-Instruct-v1.1,2024-09-05,chat_finetuned,0.315,gpl-3.0,
Mxode/NanoLM-0.3B-Instruct-v2,2024-09-08,chat_finetuned,0.315,gpl-3.0,
Mxode/NanoLM-1B-Instruct-v1.1,2024-09-08,chat_finetuned,1.076,gpl-3.0,
Mxode/NanoLM-1B-Instruct-v2,2024-09-09,chat_finetuned,1.076,gpl-3.0,
NAPS-ai/naps-gemma-2-27b-v-0.1.0,2024-11-11,chat_finetuned,27.227,apache-2.0,
NAPS-ai/naps-gemma-2-27b-v0.1.0,2024-11-11,chat_finetuned,27.227,apache-2.0,
NAPS-ai/naps-llama-3_1-8b-instruct-v0.3,2024-09-30,chat_finetuned,8.03,apache-2.0,
NAPS-ai/naps-llama-3_1-8b-instruct-v0.4,2024-09-30,chat_finetuned,8.03,apache-2.0,
NAPS-ai/naps-llama-3_1-instruct-v0.5.0,2024-09-30,chat_finetuned,8.03,apache-2.0,
NAPS-ai/naps-llama-3_1_instruct-v0.6.0,2024-11-13,chat_finetuned,8.03,apache-2.0,
NAPS-ai/naps-llama3.1-70B-v0.2-fp16,2024-12-12,chat_finetuned,70.761,apache-2.0,
NCSOFT/Llama-VARCO-8B-Instruct,2024-12-21,chat_finetuned,8.03,llama3.1,
NJS26/NJS_777,2025-02-27,merge,10.362,,license_unverified;
NLPark/AnFeng_v3.1-Avocet,2024-08-07,chat_finetuned,34.393,cc-by-nc-nd-4.0,license_unverified;
NLPark/B-and-W_Flycatcher-3AD1E,2024-09-28,chat_finetuned,14.77,apache-2.0,
NLPark/Shi-Ci-Robin-Test_3AD80,2024-10-25,chat_finetuned,70.554,llama3.1,
NTQAI/NxMobileLM-1.5B-SFT,2025-01-15,chat_finetuned,1.544,mit,
NTQAI/Nxcode-CQ-7B-orpo,2024-08-10,chat_finetuned,7.25,other,license_unverified;
NYTK/PULI-GPTrio,2024-08-24,pretrained,7.673,cc-by-nc-4.0,
NYTK/PULI-LlumiX-32K,2024-08-24,continued,6.738,llama2,
Naveenpoliasetty/llama3-8B-V2,2024-06-26,chat_finetuned,8.03,,license_unverified;
NbAiLab/nb-llama-3.1-8B-Instruct,2024-12-10,chat_finetuned,8.03,,license_unverified;
NbAiLab/nb-llama-3.1-8B-sft,2024-12-11,chat_finetuned,8.03,llama3.1,
Nekochu/Llama-3.1-8B-German-ORPO,2024-09-24,chat_finetuned,8.03,llama3.1,
Nekochu/Llama-3.1-8B-french-DPO,2024-10-12,chat_finetuned,8.03,apache-2.0,
Nekochu/Luminia-13B-v3,2024-09-25,chat_finetuned,13.016,apache-2.0,
Nekochu/Luminia-8B-RP,2024-09-24,chat_finetuned,8.03,apache-2.0,
NeverSleep/Lumimaid-v0.2-12B,2024-07-31,chat_finetuned,12.248,cc-by-nc-4.0,
NeverSleep/Lumimaid-v0.2-8B,2024-08-09,chat_finetuned,8.03,cc-by-nc-4.0,
Nexesenex/Dolphin3.0-Llama3.1-1B-abliterated,2025-03-05,merge,1.236,llama3.1,
Nexesenex/Llama_3.1_8b_DeepDive_3_Prev_v1.0,2025-02-28,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_DeepDive_3_R1_Prev_v1.0,2025-02-27,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_DobHerWild_R1_v1.1R,2025-02-27,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_DoberWild_v2.01,2025-02-27,merge,8.031,llama3.1,
Nexesenex/Llama_3.1_8b_DoberWild_v2.02,2025-02-28,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_DoberWild_v2.03,2025-02-28,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_DodoWild_v2.01,2025-02-27,merge,8.031,llama3.1,
Nexesenex/Llama_3.1_8b_DodoWild_v2.02,2025-02-28,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_DodoWild_v2.03,2025-02-28,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_DodoWild_v2.10,2025-03-01,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_Dolermed_R1_V1.01,2025-02-28,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_Dolermed_R1_V1.03,2025-02-28,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_Dolermed_V1.01,2025-02-28,merge,8.031,llama3.1,
Nexesenex/Llama_3.1_8b_Dolerstormed_V1.04,2025-03-01,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_Hermedash_R1_V1.04,2025-02-28,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_Hermedive_R1_V1.01,2025-02-28,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_Hermedive_R1_V1.03,2025-02-28,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_Hermedive_V1.01,2025-02-28,merge,8.031,llama3.1,
Nexesenex/Llama_3.1_8b_Mediver_V1.01,2025-02-27,merge,8.031,llama3.1,
Nexesenex/Llama_3.1_8b_Medusa_v1.01,2025-02-27,merge,8.031,llama3.1,
Nexesenex/Llama_3.1_8b_Smarteaz_0.2_R1,2025-02-27,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_Smarteaz_V1.01,2025-02-27,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_Stormeder_v1.04,2025-02-28,merge,8.03,llama3.1,
Nexesenex/Llama_3.1_8b_Typhoon_v1.03,2025-02-28,merge,8.03,llama3.1,
Nexesenex/Llama_3.2_1b_AquaSyn_0.1,2025-02-22,merge,1.498,llama3.2,
Nexesenex/Llama_3.2_1b_AquaSyn_0.11,2025-02-26,merge,1.498,,license_unverified;
Nexesenex/Llama_3.2_1b_Dolto_0.1,2025-02-22,merge,1.498,llama3.2,
Nexesenex/Llama_3.2_1b_Odyssea_V1,2025-02-22,merge,1.498,llama3.2,
Nexesenex/Llama_3.2_1b_Odyssea_V1.01,2025-02-26,merge,1.498,,license_unverified;
Nexesenex/Llama_3.2_1b_OpenTree_R1_0.1,2025-02-22,merge,1.498,llama3.2,
Nexesenex/Llama_3.2_1b_OrcaSun_V1,2025-03-06,merge,1.498,llama3.2,
Nexesenex/Llama_3.2_1b_RandomLego_RP_R1_0.1,2025-02-22,merge,1.498,llama3.2,
Nexesenex/Llama_3.2_1b_SunOrca_V1,2025-03-06,merge,1.498,llama3.2,
Nexesenex/Llama_3.2_1b_Sydonia_0.1,2025-02-22,merge,1.498,llama3.2,
Nexesenex/Llama_3.2_1b_Syneridol_0.2,2025-02-22,merge,1.498,llama3.2,
Nexesenex/Llama_3.2_1b_Synopsys_0.1,2025-02-22,merge,1.498,llama3.2,
Nexesenex/Llama_3.2_1b_Synopsys_0.11,2025-02-26,merge,1.498,,license_unverified;
Nexesenex/Llama_3.2_3b_Kermes_v1,2025-02-13,merge,3.213,llama3.2,
Nexesenex/Llama_3.2_3b_Kermes_v2,2025-02-12,merge,3.213,llama3.2,
Nexesenex/Llama_3.2_3b_Kermes_v2.1,2025-02-13,merge,3.213,llama3.2,
Nexesenex/Nemotron_W_4b_Halo_0.1,2025-02-21,merge,4.513,,license_unverified;
Nexesenex/Nemotron_W_4b_MagLight_0.1,2025-02-21,merge,4.513,,license_unverified;
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,2025-02-27,merge,3.085,,license_unverified;
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,2025-03-05,merge,1.236,llama3.2,
Nexusflow/NexusRaven-V2-13B,2024-06-12,chat_finetuned,13.0,other,license_unverified;
NikolaSigmoid/AceMath-1.5B-Instruct-1epoch,2025-03-06,chat_finetuned,1.791,,license_unverified;
NikolaSigmoid/AceMath-1.5B-Instruct-dolphin-r1-200,2025-03-06,chat_finetuned,0.928,apache-2.0,
NikolaSigmoid/DeepSeek-R1-Distill-Qwen-1.5B-500,2025-03-04,chat_finetuned,1.157,apache-2.0,
NikolaSigmoid/acemath-200,2025-03-04,chat_finetuned,1.791,apache-2.0,
NikolaSigmoid/phi-4-14b,2025-02-28,chat_finetuned,14.704,apache-2.0,
NikolaSigmoid/phi-4-1steps,2025-03-06,chat_finetuned,14.704,apache-2.0,
NikolaSigmoid/phi-4-300steps,2025-03-07,chat_finetuned,14.704,apache-2.0,
Nitral-AI/Captain-Eris-BMO_Violent-GRPO-v0.420,2025-02-23,merge,12.248,other,license_unverified;
Nitral-AI/Captain-Eris_BMO-Violent-12B,2025-02-23,merge,12.248,other,license_unverified;
Nitral-AI/Captain-Eris_Violet-GRPO-v0.420,2025-02-17,chat_finetuned,12.248,other,license_unverified;
Nitral-AI/Captain-Eris_Violet-V0.420-12B,2025-01-04,merge,12.248,other,license_unverified;
Nitral-AI/Captain_BMO-12B,2025-01-04,chat_finetuned,12.248,other,license_unverified;
Nitral-AI/Hathor_Stable-v0.2-L3-8B,2024-07-02,chat_finetuned,8.03,other,license_unverified;
Nitral-AI/Hathor_Tahsin-L3-8B-v0.85,2025-01-26,chat_finetuned,8.03,other,license_unverified;
Nitral-AI/Nera_Noctis-12B,2025-01-26,chat_finetuned,12.248,other,license_unverified;
Nohobby/MS-Schisandra-22B-v0.1,2024-10-30,merge,22.247,other,license_unverified;
Nohobby/MS-Schisandra-22B-v0.2,2024-11-02,merge,22.247,other,license_unverified;
Norquinal/Alpha,2024-11-30,chat_finetuned,8.03,,license_unverified;
Norquinal/Bravo,2024-11-30,chat_finetuned,8.03,,license_unverified;
Norquinal/Charlie,2024-11-30,chat_finetuned,8.03,,license_unverified;
Norquinal/Delta,2024-11-30,chat_finetuned,8.03,,license_unverified;
Norquinal/Echo,2024-11-30,chat_finetuned,8.03,,license_unverified;
Norquinal/Foxtrot,2024-11-30,chat_finetuned,8.03,,license_unverified;
Norquinal/Golf,2024-11-30,chat_finetuned,8.03,,license_unverified;
Norquinal/Hotel,2024-11-30,chat_finetuned,8.03,,license_unverified;
NotASI/FineTome-Llama3.2-1B-0929,2024-10-04,chat_finetuned,1.236,llama3.2,
NotASI/FineTome-Llama3.2-3B-1002,2024-10-05,chat_finetuned,3.0,llama3.2,
NotASI/FineTome-v1.5-Llama3.2-1B-1007,2024-10-07,chat_finetuned,1.236,llama3.2,
NotASI/FineTome-v1.5-Llama3.2-3B-1007,2024-10-07,chat_finetuned,3.213,llama3.2,
NousResearch/DeepHermes-3-Mistral-24B-Preview,2025-03-13,chat_finetuned,23.572,apache-2.0,
NousResearch/Hermes-2-Pro-Llama-3-8B,2024-06-13,chat_finetuned,8.031,llama3,
NousResearch/Hermes-2-Pro-Mistral-7B,2024-06-12,chat_finetuned,7.242,apache-2.0,
NousResearch/Hermes-2-Theta-Llama-3-8B,2024-07-11,chat_finetuned,8.03,apache-2.0,
NousResearch/Hermes-3-Llama-3.1-70B,2024-08-28,chat_finetuned,70.554,llama3,
NousResearch/Hermes-3-Llama-3.1-8B,2024-08-28,chat_finetuned,8.03,llama3,
NousResearch/Hermes-3-Llama-3.2-3B,2024-12-20,chat_finetuned,3.213,llama3,
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,2024-06-12,chat_finetuned,7.242,apache-2.0,
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,2024-07-27,chat_finetuned,46.703,apache-2.0,
NousResearch/Nous-Hermes-2-Mixtral-8x7B-SFT,2024-06-12,chat_finetuned,46.703,apache-2.0,
NousResearch/Nous-Hermes-2-SOLAR-10.7B,2024-06-12,chat_finetuned,10.732,apache-2.0,
NousResearch/Nous-Hermes-llama-2-7b,2024-06-12,chat_finetuned,6.738,mit,
NousResearch/Yarn-Llama-2-13b-128k,2024-06-13,continued,13.0,,license_unverified;
NousResearch/Yarn-Llama-2-7b-128k,2024-06-13,continued,7.0,,license_unverified;
NousResearch/Yarn-Llama-2-7b-64k,2024-06-13,continued,7.0,,license_unverified;
NousResearch/Yarn-Mistral-7b-128k,2024-06-12,continued,7.0,apache-2.0,
NousResearch/Yarn-Mistral-7b-64k,2024-06-12,continued,7.0,apache-2.0,
NousResearch/Yarn-Solar-10b-32k,2024-06-12,continued,10.0,apache-2.0,
NousResearch/Yarn-Solar-10b-64k,2024-06-12,continued,10.0,apache-2.0,
Novaciano/ASTAROTH-3.2-1B,2025-03-10,merge,1.498,,license_unverified;
Novaciano/BLAST_PROCESSING-3.2-1B,2025-03-09,merge,1.498,,license_unverified;
Novaciano/Cerberus-3.2-1B,2025-03-10,merge,1.236,,license_unverified;
Novaciano/Cultist-3.2-1B,2025-03-10,merge,1.498,,license_unverified;
Novaciano/FuseChat-3.2-1B-GRPO_Creative_RP,2025-03-10,merge,1.236,,license_unverified;
Novaciano/Fusetrix-3.2-1B-GRPO_RP_Creative,2025-03-10,merge,1.236,,license_unverified;
Novaciano/Fusetrix-Dolphin-3.2-1B-GRPO_Creative_RP,2025-03-10,merge,1.236,,license_unverified;
Novaciano/HarmfulProject-3.2-1B,2025-03-09,merge,1.498,,license_unverified;
Novaciano/LEWD-Mental-Cultist-3.2-1B,2025-03-10,merge,1.498,,license_unverified;
Novaciano/La_Mejor_Mezcla-3.2-1B,2025-03-10,merge,1.498,apache-2.0,
Novaciano/Sigil-Of-Satan-3.2-1B,2025-03-10,merge,1.498,,license_unverified;
NucleusAI/nucleus-22B-token-500B,2024-06-26,pretrained,21.828,mit,
