tier,Model,actual,prediction,error,supported,Loss_Source
medium,01-ai/Yi-1.5-34B,25.64649419429311,27.58059452307511,1.9341003287820016,True,Yi-1.5 report
medium,01-ai/Yi-1.5-34B-32K,26.727912908508134,27.54197242613886,0.8140595176307244,True,Yi-1.5 report
medium,01-ai/Yi-1.5-34B-Chat,33.35799367075618,27.305183827487145,-6.052809843269035,True,Yi-1.5 report
medium,01-ai/Yi-1.5-34B-Chat-16K,29.403554842710225,27.446413785631638,-1.9571410570785872,True,Yi-1.5 report
medium,01-ai/Yi-34B-200K,20.01347533597433,27.781773768015068,7.768298432040737,True,Yi technical report
medium,01-ai/Yi-34B-Chat,24.226662652803373,27.63130279241403,3.404640139610656,True,Yi technical report
medium,01-ai/Yi-6B-200K,11.99609829883284,21.626253670853433,9.630155372020594,True,Yi technical report
medium,01-ai/Yi-6B-Chat,14.11765000523676,21.501456511653203,7.383806506416443,True,Yi technical report
medium,EleutherAI/gpt-neox-20b,6.1165221524743325,28.27809352456864,22.161571372094308,True,GPT-NeoX paper
medium,Qwen/Qwen2-0.5B-Instruct,6.586780633287707,7.224121473565234,0.6373408402775276,True,Qwen2 report
medium,Qwen/Qwen2-1.5B-Instruct,14.141936815181689,10.445452935561454,-3.696483879620235,True,Qwen2 report
medium,Qwen/Qwen2-57B-A14B-Instruct,33.015868823547095,27.317402572030325,-5.69846625151677,True,Qwen2 MoE report
medium,Qwen/Qwen2-7B-Instruct,27.93668778218485,20.68857193653861,-7.24811584564624,True,Qwen2 report
medium,Qwen/Qwen2.5-0.5B-Instruct,10.107543850719257,6.409414763838648,-3.6981290868806083,True,Qwen2.5 report
medium,Qwen/Qwen2.5-1.5B-Instruct,18.430509141644382,10.260040831232422,-8.17046831041196,True,Qwen2.5 report
medium,Qwen/Qwen2.5-14B-Instruct,41.30945747711163,27.021202977260167,-14.288254499851462,True,Qwen2.5 report
medium,Qwen/Qwen2.5-14B-Instruct-1M,41.559026792386994,27.0122897874289,-14.546737004958093,True,Qwen2.5 report
medium,Qwen/Qwen2.5-32B-Instruct,46.59714569921449,26.832356969327915,-19.764788729886572,True,Qwen2.5 report
medium,Qwen/Qwen2.5-72B-Instruct,47.98045991216864,26.782952890293842,-21.1975070218748,True,Qwen2.5 report
medium,Qwen/Qwen2.5-7B-Instruct,35.200108659947965,20.261311884905485,-14.93879677504248,True,Qwen2.5 report
medium,Qwen/Qwen2.5-7B-Instruct-1M,32.76394723937119,20.40461549788059,-12.3593317414906,True,Qwen2.5 report
