type,method,n,MAE,RMSE
chat_finetuned,last_month_q90,11,1.9900825942207157,2.5745675733557976
chat_finetuned,quantile_N_time,11,1.4193391608515653,1.7103072080602195
merge,last_month_q90,11,3.4565121367765643,4.281744203066632
merge,quantile_N_time,11,4.040777059390994,4.531871640866996
pretrained,last_month_q90,11,7.498198208582224,8.478611310476573
pretrained,quantile_N_time,11,9.442522975271961,12.424455221917954
