indicator,abs_weight,square_weight
fineweb_edu,0.0384312828135377,0.039052814891864344
fluency_en,0.036050795042404125,0.034451700188590575
modernbert_cleanliness,0.029458853908439327,0.025548249589080287
modernbert_readability,0.031066628633603776,0.026605001717365524
modernbert_reasoning,0.03220150577708338,0.028222004124575702
modernbert_professionalism,0.04454656474076072,0.04808792616497623
dsir_books,0.02524597364088201,0.018847021108184717
dsir_wiki,0.025173391956457056,0.01875752643315157
dsir_math,0.024916934967821977,0.018287597067258556
qurater,0.03108306325630645,0.02790621119832277
rps_doc_unigram_entropy,0.027126271739211984,0.022406988499786607
rps_doc_frac_unique_words,0.058357483417975524,0.06351271360461888
rps_lines_ending_with_terminal_punctution_mark,0.06640035957113177,0.07368802725952453
ad_en,0.06422644655707069,0.07124468702409784
rps_doc_frac_no_alph_words,0.06445223172595327,0.06736218225731926
rps_doc_frac_chars_top_2gram,0.05574516827297295,0.058974056582067745
rps_doc_frac_chars_top_3gram,0.06936918626090396,0.06540642440520666
rps_lines_uppercase_letter_fraction,0.05129276955286992,0.0587305423134729
rps_lines_numerical_chars_fraction,0.06541787245297753,0.07015416608171143
rps_doc_word_count,0.03557854075635071,0.03707873993774247
rps_doc_num_sentences,0.08234470192782811,0.08307593908990364
rps_doc_mean_word_length,0.04151397302745708,0.04259948046117786
