indicator,power,mean,sd,low,high
fineweb_edu,1,0.038447725488084006,0.00022160602259392527,0.03799123837843147,0.03887220726593446
fluency_en,1,0.036041811468658445,0.00018817026234231954,0.035715169980571504,0.03644169900671093
modernbert_cleanliness,1,0.029464842400615816,9.899375437139363e-05,0.02927129903438449,0.029635870518976593
modernbert_readability,1,0.031048487255546816,0.000129402520937519,0.030803881055966334,0.03131622446558577
modernbert_reasoning,1,0.032222269154997055,0.0001307198710915368,0.031968600981508534,0.032459822414782
modernbert_professionalism,1,0.04467829235841131,0.000222033705347576,0.04427288791431632,0.04513357147858612
dsir_books,1,0.025246039567359504,5.7123282540894295e-05,0.025123147309339934,0.025348694661661706
dsir_wiki,1,0.02517501897736689,5.6096735982679457e-05,0.025048143333291677,0.02527576576943495
dsir_math,1,0.024915068915513185,5.3683843421462656e-05,0.024808855863706864,0.025026925038992804
qurater,1,0.03106351246075574,0.00012136292142708351,0.03083838234925902,0.031291261585787905
rps_doc_unigram_entropy,1,0.02710655479049898,7.875920240932428e-05,0.026948771412578138,0.027250133443640783
rps_doc_frac_unique_words,1,0.05852509252612246,0.0005179022349231919,0.05760211431913854,0.05960497053931991
rps_lines_ending_with_terminal_punctution_mark,1,0.06626265736148444,0.0007925933484280203,0.06479725702153533,0.06764104533893829
ad_en,1,0.06450517323429311,0.0004454538992860309,0.06366533464237464,0.06526446236743919
rps_doc_frac_no_alph_words,1,0.06442751608644488,0.0005310065202309698,0.06342102288672855,0.06545526238845444
rps_doc_frac_chars_top_2gram,1,0.05554201645835732,0.0004936271079893338,0.054557273728195584,0.05644581159493649
rps_doc_frac_chars_top_3gram,1,0.06889193235101551,0.0005972701464197035,0.06765248589685453,0.07016077543420536
rps_lines_uppercase_letter_fraction,1,0.051217510676705075,0.0004382219597895431,0.050522892151568924,0.05210692599718467
rps_lines_numerical_chars_fraction,1,0.0654488781658557,0.0005911677687576533,0.06433426459991809,0.06650918020115017
rps_doc_word_count,1,0.03564169845016563,0.00030386487496980184,0.03507745268878274,0.036262214365165996
rps_doc_num_sentences,1,0.08267468473692283,0.0006792625419840458,0.08148511120332767,0.08407440492468123
rps_doc_mean_word_length,1,0.04145321711482536,0.00033451495357453916,0.04080880060866078,0.04209517904266102
fineweb_edu,2,0.03906725813280905,0.0002775058037817791,0.038480031851169605,0.03963817558373798
fluency_en,2,0.034417624060173714,0.0002230880845330839,0.03401483330193068,0.034882281651029405
modernbert_cleanliness,2,0.025509800846754506,0.00012770826786785887,0.025239738076485035,0.02575256504168975
modernbert_readability,2,0.02661134703416814,0.0001585717361492936,0.026334694616843034,0.02691478216249187
modernbert_reasoning,2,0.028191266878925755,0.00015281920782358972,0.027890488488989167,0.028472568622738986
modernbert_professionalism,2,0.0483493029425798,0.0002601422816751491,0.04784539172113784,0.04886368292644272
dsir_books,2,0.018812397624218564,4.513196740529804e-05,0.01871749091924907,0.018899784923295748
dsir_wiki,2,0.018724773759195817,4.4405423099141435e-05,0.0186271134582881,0.018808541445260514
dsir_math,2,0.018257125510279925,4.19677113639045e-05,0.018164082349204684,0.018335316564788137
qurater,2,0.02787226902050735,0.00014781666823637563,0.027597773544678628,0.028139962488726224
rps_doc_unigram_entropy,2,0.022349075371663946,8.63884987362425e-05,0.02217153058766419,0.0225064068755128
rps_doc_frac_unique_words,2,0.06363221946640457,0.0004555710911714942,0.06283252557484544,0.06454747502590355
rps_lines_ending_with_terminal_punctution_mark,2,0.07358782167158984,0.0005746927248965842,0.07257932352108572,0.07465233981094867
ad_en,2,0.07145536996968539,0.0004016245172258353,0.07063270435795768,0.07225729447152135
rps_doc_frac_no_alph_words,2,0.06742775769972914,0.000401658056109126,0.06671684729554757,0.06824662107058335
rps_doc_frac_chars_top_2gram,2,0.05884499142365626,0.0004738541264997466,0.05800320435371353,0.05973751441788776
rps_doc_frac_chars_top_3gram,2,0.06536599830219271,0.00036193983244970615,0.06476105432457142,0.06609846474166431
rps_lines_uppercase_letter_fraction,2,0.05865901434956498,0.00046111932380790287,0.05787646913840299,0.059530952432496065
rps_lines_numerical_chars_fraction,2,0.07019844523791167,0.0004286631940342208,0.06931571550466724,0.07096971567033758
rps_doc_word_count,2,0.03706931906489465,0.00041598603565369237,0.0362924777809108,0.037879070093603334
rps_doc_num_sentences,2,0.08305208589665526,0.0004335611365445383,0.0822322151537603,0.08386613948746227
rps_doc_mean_word_length,2,0.042544735736438646,0.0004332676699859399,0.04166895500780418,0.043417858777865775
