indicator,copy,power,family_weight_before,family_weight_after,family_weight_inflation,rho,top10_overlap,bottom10_overlap,mean_abs_rank_shift
fineweb_edu,exact,1,0.0384312828135377,0.0658719906751522,1.7140200860520929,0.9978762493580825,0.9502244778450127,0.962912356041382,0.01396630818617809
fineweb_edu,exact,2,0.039052814891864344,0.05643380687141313,1.4450637432327489,0.9991853024034658,0.9677923091938317,0.9771618192465352,0.008603412846627655
fineweb_edu,noise,1,0.0384312828135377,0.06907400008604803,1.7973378724094062,0.9967648833143246,0.9349990240093695,0.9576420066367363,0.017055251662127475
fineweb_edu,noise,2,0.039052814891864344,0.06219546414331743,1.5925987490411164,0.9978008597462497,0.9480772984579348,0.96408354479797,0.013999342125542609
fluency_en,exact,1,0.036050795042404125,0.062479472349392294,1.733095546877729,0.9981983753625527,0.961936365410892,0.9644739410501659,0.012391064261867412
fluency_en,exact,2,0.034451700188590575,0.0515692886636928,1.496857582685312,0.9992110566382124,0.9752098379855554,0.9765762248682412,0.008189044146058493
fluency_en,noise,1,0.036050795042404125,0.06567823947924761,1.8218249944833316,0.9972004411599374,0.9484676947101308,0.9554948272496584,0.01567410318310876
fluency_en,noise,2,0.034451700188590575,0.05700197728393437,1.6545475831933487,0.9980386116133951,0.9580324028889322,0.963497950419676,0.013095785507474549
modernbert_cleanliness,exact,1,0.029458853908439327,0.053004532237818806,1.7992734001995287,0.9990455927374202,0.9675971110677337,0.9740386492289674,0.009347052552113575
modernbert_cleanliness,exact,2,0.025548249589080287,0.04126659433125781,1.615241552552226,0.9995487243937157,0.9754050361116533,0.983017763029475,0.006421226582654633
modernbert_cleanliness,noise,1,0.029458853908439327,0.05565445195317409,1.889226652406538,0.9983549756483852,0.9580324028889322,0.9675971110677337,0.012240216460738295
modernbert_cleanliness,noise,2,0.025548249589080287,0.045612316400701944,1.7853401753283853,0.9988704702119374,0.9642787429240679,0.9730626585984774,0.010088982988043229
modernbert_readability,exact,1,0.031066628633603776,0.055173612908699605,1.7759768386653991,0.9986053595467625,0.9650595354284599,0.9722818660940855,0.01074292985947983
modernbert_readability,exact,2,0.026605001717365524,0.042466223954242655,1.5961744489016232,0.9994133075950039,0.9757954323638494,0.9837985555338669,0.006903022652317693
modernbert_readability,noise,1,0.031066628633603776,0.057846333334375805,1.8620087173477613,0.9978657731557301,0.9551044309974625,0.9617411672847941,0.01359028107653805
modernbert_readability,noise,2,0.026605001717365524,0.0468576692716718,1.7612353409880452,0.998634663684352,0.9609603747804021,0.9718914698418896,0.010866483452986646
modernbert_reasoning,exact,1,0.03220150577708338,0.05678766221112344,1.76350952667366,0.9990217378323465,0.9662307241850479,0.9728674604723795,0.009867611624237015
modernbert_reasoning,exact,2,0.028222004124575702,0.044558574446908764,1.5788593272901972,0.9996213150561419,0.981065781768495,0.9800897911380051,0.00585931050291275
modernbert_reasoning,noise,1,0.03220150577708338,0.059693627835557525,1.8537526862498233,0.9981692977553623,0.9549092328713644,0.96310755416748,0.013066893289036605
modernbert_reasoning,noise,2,0.028222004124575702,0.04932048267298307,1.7475896628487424,0.9988085051610778,0.96408354479797,0.9709154792113995,0.010397848682702228
modernbert_professionalism,exact,1,0.04454656474076072,0.07438762132745405,1.669884574946547,0.9960199995406211,0.9367558071442514,0.9430021471793871,0.01908475283165878
modernbert_professionalism,exact,2,0.04808792616497623,0.06528880787013759,1.35769647553837,0.9986195468190551,0.9642787429240679,0.9697442904548116,0.011197419528781893
modernbert_professionalism,noise,1,0.04454656474076072,0.07802339657621903,1.7515019851761215,0.9945659626191208,0.9230919383173921,0.9389029865313293,0.022210138879485027
modernbert_professionalism,noise,2,0.04808792616497623,0.07185067817566801,1.494152148070774,0.9966428943795497,0.9408549677923091,0.9554948272496584,0.01736906532255947
dsir_books,exact,1,0.02524597364088201,0.04665975745366999,1.848205900766355,0.9993781586669777,0.9795041967597111,0.9769666211204372,0.007473472887102213
dsir_books,exact,2,0.018847021108184717,0.032502426375729435,1.724539182566871,0.9998098563725859,0.9871169236775327,0.9884833105602187,0.003973454274124544
dsir_books,noise,1,0.02524597364088201,0.04901251794217251,1.941399394587191,0.9988177625266467,0.9685731016982237,0.9701346867070076,0.010314197350677911
dsir_books,noise,2,0.018847021108184717,0.035980302637982756,1.909071063880623,0.9993911496929089,0.9742338473550654,0.9793089986336131,0.007364745663852519
dsir_wiki,exact,1,0.025173391956457056,0.0465422035487164,1.848865009102525,0.9993897778848548,0.9798945930119071,0.9769666211204372,0.007451513002660418
dsir_wiki,exact,2,0.01875752643315157,0.03237184401189038,1.7258055920783466,0.9998210786334588,0.9886785086863166,0.9886785086863166,0.0038431382829171848
