copy,power,rho,top10_overlap,bottom10_overlap,family_weight_inflation,mean_abs_rank_shift
exact,1,0.9976666703178455,0.9579170585416925,0.9574024453001616,1.6759212147294134,0.01316573978702516
exact,2,0.9994095005653402,0.9782886447926464,0.979477578833425,1.417849757533453,0.006686288443363009
noise,1,0.9964042379815883,0.9432062179475804,0.950304331623871,1.757643573005963,0.01683030848401339
noise,2,0.9980745932132039,0.9569055773428211,0.9660976345536174,1.562801032260395,0.012437237262717787
