set,metric,square_minus_abs_mean,paired_low,paired_high
A1,rho,1.77175440857269e-06,-5.533312464164885e-06,1.2435763732154828e-05
A1,top10_overlap,-0.0004487804878048579,-0.0039024390243901363,0.0019756097560976738
A1,bottom10_overlap,0.002370731707317029,-0.0019512195121950127,0.0068292682926828245
A1,mean_abs_rank_shift,-8.196730757129998e-05,-0.0004588155910006624,0.0002237868971334801
A1,weight_L1,-0.0005315229336395245,-0.0022411391130142703,0.0011055557025418453
A2,rho,1.1006436515962336e-05,-3.5778320160995124e-06,4.3471026922004025e-05
A2,top10_overlap,0.0018590937306021127,-0.0012414649286155433,0.0062073246430788265
A2,bottom10_overlap,0.0016325263811297359,-0.0012414649286158791,0.004965859714463172
A2,mean_abs_rank_shift,-0.00032329499028792204,-0.0009759402927173327,0.0001682033205550325
A2,weight_L1,-0.0005315229336395245,-0.0022411391130142703,0.0011055557025418453
A3,rho,3.0949305417216076e-06,-2.0643048670831998e-05,2.6649651810278794e-05
A3,top10_overlap,0.0001367671345995103,-0.0011883257638316102,0.0014966969446735922
A3,bottom10_overlap,0.00035611065235342576,-0.0019624793559041677,0.002637283236994138
A3,mean_abs_rank_shift,-0.00010123951361257501,-0.0007257043480034898,0.0004697034809518955
A3,weight_L1,-0.0005315229336395245,-0.0022411391130142703,0.0011055557025418453
