set,power,rho,top10_overlap,bottom10_overlap,mean_abs_rank_shift,weight_L1
A1,1,0.9999871834151526,0.9972975609756096,0.9950926829268293,0.0010364957540550356,0.005695506384397952
A1,2,0.9999889551695611,0.9968487804878048,0.9974634146341462,0.0009545284464837355,0.0051639834507584284
A2,1,0.9999716265536647,0.9951986343885786,0.9952607076350093,0.001490610568685513,0.005695506384397952
A2,2,0.9999826329901806,0.9970577281191807,0.996893234016139,0.001167315578397591,0.0051639834507584284
A3,1,0.9999768731432767,0.9967679087530966,0.9955726156069364,0.0013716248051023556,0.005695506384397952
A3,2,0.9999799680738183,0.996904675887696,0.9959287262592899,0.0012703852914897806,0.0051639834507584284
