N,equal_contribution_D,compute_optimal_D
0.056433599999999993,2.685789405155278,1.3405429270346614
0.05822048616630565,2.7894376263454577,1.392276279452211
0.06006395143037102,2.8970857716306764,1.446006091437286
0.06196578728533304,3.008888203455199,1.5018094090466108
0.0639278419492992,3.1250052413173743,1.5597662516477362
0.0659520221614596,3.245603391660365,1.6199597266631058
0.06804029503507028,3.370855586634662,1.6824761487422422
0.0701946899691082,3.500941432074751,1.7474051635329435
0.07241730062045619,3.636047465045554,1.8148398762289863
0.07471028693853426,3.7763674213279206,1.884876985078652
0.07707587726435418,3.922102513226739,1.9576169200455236
0.07951637049603791,4.073461718100056,2.0331639868203975
0.08203413832290354,4.230662078022896,2.111626516390799
0.08463162753029065,4.3939290110155325,2.1931170203825916
0.08731136237736414,4.563496634282461,2.277752352396427
0.09007594705020819,4.739608099925613,2.365653875570388
0.09292806819259314,4.922515943613173,2.456947636609089
0.09587049751687605,5.112482446704022,2.551764546528809
0.09890609449757101,5.309780012347019,2.650240568377806
0.10203780915020752,5.514691556094476,2.75251691220102
0.10526868489817753,5.727510911589938,2.8587402375287265
0.10860186153035663,5.948543251911988,2.969062863679496
0.11204057825237392,6.178105527178269,3.083642988179021
0.11558817683449613,6.416526919037256,3.202644913608035
0.11924810485918448,6.66414931269945,3.32623928320458
0.1230239190714807,6.921327787184911,3.454603325558495
0.1269192888354783,7.188431124490091,3.5879211087489873
0.13093799970023737,7.465842338404103,3.7263838042897155
0.1350839570786092,7.753959223732707,3.8701899612598623
0.13936119004254544,8.053194926717621,4.01954579101431
0.1437738552385797,8.36397853746904,4.174665462881144
0.14832624092728722,8.686755705260929,4.335771411270527
0.15302277115064863,9.021989277571443,4.503094654635336
0.15786801003136597,9.370159963784678,4.676875126740882
0.162866666208311,9.73176702450564,4.857362020718801
0.1680235974124155,10.107328987476796,5.0448141463984495
0.1733438151874494,10.497384391122761,5.239500301428173
0.17883248976027652,10.90249255678943,5.441699656718667
0.1844949550653188,11.323234390784807,5.651702156761103
0.19033671392811327,11.760213217371712,5.869808935394074
0.1963634434129985,12.214055643906763,6.096332747615545
0.20258100034012755,12.685412459366242,6.331598418059001
0.2089954269771688,13.174959567547281,6.575943306776895
0.2156129569112266,13.683398956282545,6.8297177929993085
0.22244002110668687,14.211459704058203,7.093285777561512
0.22948325415487578,14.75989902547863,7.367025204720855
0.2367495007216046,15.32950335707702,7.651328604111316
0.24424582219886648,15.921089485028867,7.946603653612757
0.2519795035671489,16.535505716385433,8.253273763942095
0.2599580604750318,17.17363309550669,8.571778685804617
0.26818924654295023,17.83638666743805,8.902575140476078
0.2766810608982196,18.52471679004246,9.246137474719815
0.28544175594864696,19.239610496769526,9.602958340977999
0.2944798454022815,19.982092912015617,9.97354940381236
0.30380411254109885,20.753228721104698,10.358442073607426
0.31342361875665925,21.554123696997664,10.758188268588354
0.323347712356035,22.385926285919464,11.173361206246051
0.3335860376465636,23.24982925417764,11.60455622530444
0.34414854430825725,24.147071398533914,12.052391639408576
0.35504549706297517,25.07893932258121,12.517509623757707
0.36628748564975583,26.046769281673512,13.000577135954712
0.3778854351160033,27.051949099054003,13.502286872392332
0.3898506164345294,28.095920155929214,14.023358261547676
0.40219465745676775,29.18017945834276,14.564538495609245
0.41492955421280553,30.306281783812526,15.126603601915859
0.4280676825692143,31.475841910809482,15.710359555743848
0.4416218102560081,32.69053693427506,16.31664343603819
0.4556051092744176,33.952108670497445,16.946324625744868
0.4700311686975383,35.26236615479533,17.600306058465655
0.48491400787629196,36.62318823559061,18.27952551322303
0.5002680900635345,38.03652626858973,18.984956959191713
0.5161083364695528,39.50440691493731,19.717611952325306
0.5324501407626062,41.02893504735413,20.478541085880572
0.5493093840286073,42.612296768426894,21.268835496919404
0.5667024502044776,44.2567625453779,22.08962843094871
0.5846462420001788,45.96469046580965,22.942096866941903
0.6031581973248915,47.73852961909312,23.827463205072135
0.6222563062333025,49.580823608248096,24.74699701957737
0.6419591284084735,51.49421419735192,25.70201687927092
0.6622858111982783,53.4814450997067,26.693892238308006
0.6832561082229357,55.54536591219655,27.724045399919333
0.7048903985717244,57.688936201477645,28.79395355592804
0.7272097066075309,59.915229747859094,29.90515090497411
0.7502357223984811,62.22743895296144,31.059230852484063
0.7739908227965095,64.62887941747249,32.257848295540434
0.7984980931833467,67.12299469556457,33.502721995927274
0.8237813499050647,69.71336123279156,34.79563704475485
0.8498651634169788,72.40369349454589,36.138447422197466
0.8767748821613951,75.19784929242937,37.53307865601493
0.9045366572014145,78.09983531617598,38.981530582670004
0.9331774676347303,81.11381287905922,40.48588021500118
0.9627251468121111,84.24410388502194,42.04828472056253
0.9932084093860584,87.49519702608607,43.67098451490194
1.0246568792159185,90.87175421892891,45.3563064742131
1.0571011181565646,94.37861728985483,47.10666727196783
1.0905726557586346,98.02081491774979,48.92457684431374
1.1251040199091817,101.80356984497357,50.812641989206284
1.160728768442513,105.73230636652956,52.773570104435834
1.1974815217519401,109.81265810825225,54.81017306991059
1.2353979964341362,114.05047610516534,56.9253712797619
1.2745150399987835,118.45183719159425,59.122197830053814
1.3148706666772567,123.02305271506431,61.40380286810205
1.3565040943651356,127.7706775864808,63.77345810963922
1.3994557827344412,132.70151967956627,66.23456153030313
1.4437674725526448,137.82264959303586,68.79064223817618
1.489482226246657,143.14141078950786,71.44536553436282
1.5366444697512056,148.6654301256879,74.20253816886084
1.5853000356822904,154.4026287889276,77.06611379926439
1.6354962078776587,160.36123365583992,80.04019866012555
1.6872817673475835,166.54978908925804,83.12905745110398
