theta,RMSE
0.15,0.1426310110777003
0.15312499999999998,0.14125046923829085
0.15625,0.13986951407722967
0.159375,0.1384882374075115
0.1625,0.13710673535048049
0.165625,0.1357251085603218
0.16875,0.1343434624618128
0.171875,0.13296190750218106
0.175,0.13158055941797017
0.178125,0.13019953951787475
0.18125,0.1288189749825636
0.184375,0.1274389991825777
0.1875,0.1260597520154533
0.190625,0.12468138026329188
0.19375,0.12330403797207375
0.196875,0.12192788685408161
0.2,0.12055309671488718
0.203125,0.11917984590642472
0.20625,0.11780832180776266
0.209375,0.11643872133526413
0.2125,0.11507125148390822
0.215625,0.11370612990162365
0.21875,0.11234358549856578
0.221875,0.11098385909333464
0.225,0.10962720409820334
0.228125,0.10827388724547497
0.23125,0.10692418935713191
0.234375,0.10557840615996461
0.2375,0.1042368491483703
0.240625,0.10289984649698702
0.24375,0.10156774402526961
0.246875,0.10024090621601356
0.25,0.09891971728967847
0.253125,0.09760458233615119
0.25625,0.0962959285052943
0.259375,0.09499420625725037
0.2625,0.09369989067298407
0.265625,0.0924134828249343
0.26875,0.09113551120689031
0.271875,0.0898665332212751
0.275,0.08860713672089368
0.278125,0.08735794160084455
0.28125,0.08611960143467878
0.284375,0.08489280514697664
0.2875,0.08367827871227118
0.290625,0.08247678686763472
0.29375,0.08128913482323216
0.296875,0.08011616995169343
0.30000000000000004,0.07895878343324197
0.303125,0.07781791182912016
0.30625,0.07669453855096464
0.309375,0.07558969518842505
0.3125,0.0745044626515186
0.31562500000000004,0.07343997207804802
0.31875,0.07239740544998854
0.321875,0.0713779958562325
0.325,0.0703830273326969
0.328125,0.06941383420483083
0.33125000000000004,0.06847179985238507
0.334375,0.06755835481237339
0.3375,0.06667497413399441
0.340625,0.06582317389951277
0.34375,0.06500450682837952
0.34687500000000004,0.06422055688891443
0.35,0.06347293285336217
0.353125,0.06276326074870109
0.35625,0.06209317517770667
0.359375,0.06146430951271473
0.36250000000000004,0.060878284998227075
0.365625,0.06033669883748153
0.36875,0.059841111381395334
0.371875,0.05939303258437041
0.375,0.05899390793823385
0.37812500000000004,0.05864510414048893
0.38125,0.05834789479308721
0.384375,0.05810344645990796
0.3875,0.057912805431936554
0.390625,0.057776885556012646
0.39375000000000004,0.05769645747392615
0.39665934754854026,0.05767200490410751
0.396875,0.05767213959252708
0.4,0.05770439106256066
0.40312499999999996,0.05779350698565554
0.40625,0.05793961599810268
0.40937500000000004,0.05814268030068826
0.4125,0.05840249812060234
0.415625,0.05871870850939035
0.41874999999999996,0.0590907983049776
0.421875,0.059518111020314665
0.42500000000000004,0.059999857369535
0.428125,0.060535127106833835
0.43125,0.06112290183439422
0.43437499999999996,0.06176206843315186
0.4375,0.06245143278246432
0.44062500000000004,0.06318973345944934
0.44375,0.06397565514299663
0.446875,0.06480784148814414
0.45000000000000007,0.06568490728062151
0.453125,0.06660544972619084
0.45625000000000004,0.06756805877267501
0.459375,0.06857132640251312
0.4625,0.06961385486910515
0.46562500000000007,0.07069426388039517
0.46875,0.07181119675782481
0.47187500000000004,0.07296332561804399
0.475,0.07414935563893653
0.478125,0.0753680284811267
0.48125000000000007,0.07661812494178484
0.484375,0.07789846691991671
0.48750000000000004,0.07920791877203696
0.490625,0.08054538813480172
0.49375,0.08190982628735353
0.49687500000000007,0.08330022812127558
0.5,0.08471563178056091
0.503125,0.08615511802818664
0.50625,0.0876178093899945
0.509375,0.0891028691208071
0.5125000000000001,0.09060950003218213
0.515625,0.09213694321602553
0.51875,0.09368447669349918
0.521875,0.09525141401429903
0.525,0.09683710282746079
0.5281250000000001,0.09844092344135354
0.53125,0.1000622873874435
0.534375,0.1017006359997086
0.5375,0.10335543901924724
0.540625,0.10502619323160695
0.5437500000000001,0.10671242114263403
0.546875,0.10841366969718257
0.55,0.11012950904378678
0.553125,0.11185953134736883
0.55625,0.11360334965120195
0.5593750000000001,0.11536059678864126
0.5625,0.11713092434456633
0.565625,0.11891400166601944
0.56875,0.12070951492115631
0.571875,0.12251716620534774
0.5750000000000001,0.12433667269304921
0.578125,0.12616776583390188
0.58125,0.12801019059141125
0.584375,0.12986370472248304
0.5875,0.13172807809604922
0.5906250000000001,0.13360309204900533
0.59375,0.13548853877768555
0.596875,0.1373842207631235
0.6,0.13928995022838211
0.603125,0.14120554862628193
0.6062500000000001,0.14313084615590826
0.609375,0.14506568130633718
0.6125,0.1470099004260808
0.615625,0.14896335731681573
0.61875,0.15092591285002568
0.6218750000000001,0.15289743460525157
0.625,0.15487779652870923
0.628125,0.15686687861109808
0.63125,0.15886456658348425
0.634375,0.16087075163020662
0.6375000000000001,0.1628853301178062
0.640625,0.1649082033390407
0.64375,0.1669392772710974
0.646875,0.1689784623471676
0.65,0.1710256732405976
