eta,RMSE
0.02,0.1851498706526385
0.02075,0.18331315900287545
0.021500000000000002,0.18148440307336422
0.02225,0.17966383286008078
0.023,0.17785168340768134
0.02375,0.17604819499699614
0.0245,0.17425361333781214
0.02525,0.17246818976684597
0.026000000000000002,0.17069218145077267
0.02675,0.16892585159413148
0.0275,0.16716946965188534
0.02825,0.1654233115463547
0.029,0.163687659888191
0.02975,0.16196280420098563
0.0305,0.16024904114904057
0.03125,0.1585466747677438
0.032,0.15685601669590382
0.03275,0.15517738640930115
0.0335,0.15351111145460364
0.03425,0.15185752768267866
0.035,0.15021697948020252
0.035750000000000004,0.14858981999833068
0.036500000000000005,0.14697641137703982
0.037250000000000005,0.14537712496358846
0.038000000000000006,0.14379234152336895
0.03875,0.14222245144123355
0.0395,0.14066785491117742
0.04025,0.13912896211204903
0.041,0.13760619336673255
0.04175,0.13609997928201253
0.042499999999999996,0.13461076086608614
0.04325,0.1331389896204331
0.044,0.13168512760249565
0.04475,0.13024964745535697
0.0455,0.12883303240034222
0.04625,0.1274357761882064
0.047,0.12605838300432143
0.04775,0.12470136732303412
0.0485,0.12336525370614923
0.04925,0.12205057654029647
0.05,0.12075787970778536
0.05075,0.11948771618543422
0.051500000000000004,0.11824064756580105
0.052250000000000005,0.117017243495248
0.053000000000000005,0.11581808102334742
0.053750000000000006,0.11464374385830889
0.05450000000000001,0.11349482152337007
0.05525000000000001,0.11237190840947553
0.05600000000000001,0.11127560272007139
0.056749999999999995,0.11020650530448226
0.057499999999999996,0.10916521837712366
0.058249999999999996,0.10815234412074129
0.059,0.10716848317296782
0.05975,0.10621423299674913
0.0605,0.10529018613661478
0.06125,0.1043969283643435
0.062,0.10353503671929827
0.06275,0.10270507745055148
0.0635,0.10190760386987648
0.06425,0.10114315412670577
0.065,0.10041224891822376
0.06575,0.09971538914981856
0.0665,0.09905305356312624
0.06725,0.09842569635079758
0.068,0.09783374477885258
0.06875,0.09727759683899896
0.0695,0.09675761895451711
0.07025,0.09627414376420242
0.07100000000000001,0.09582746800935202
0.07175000000000001,0.09541785054883961
0.0725,0.0950455105269095
0.07325,0.09471062571741111
0.074,0.09441333106678212
0.07475,0.09415371745617745
0.0755,0.0939318307007557
0.07625,0.09374767080131499
0.077,0.09360119146026971
0.07775,0.09349229987045107
0.0785,0.09342085678147707
0.07925,0.09338667684456187
0.07956681304010307,0.09338337907672299
0.08,0.0933895292327231
0.08075,0.09342913852948764
0.0815,0.09350518587549751
0.08225,0.09361731035896446
0.083,0.09376511063279554
0.08375,0.09394814673848599
0.0845,0.09416594211460177
0.08525,0.0944179857658921
0.08600000000000001,0.09470373456780515
0.08675000000000001,0.09502261568043172
0.08750000000000001,0.09537402904566337
0.08825000000000001,0.09575734994159459
0.08900000000000001,0.0961719315688897
0.08975000000000001,0.09661710764492251
0.09050000000000001,0.09709219498292675
0.09125000000000001,0.09759649603510849
0.09200000000000001,0.09812930138060202
0.09275,0.09868989214124081
0.0935,0.09927754231030099
0.09425,0.09989152098159865
0.095,0.1005310944685421
0.09575,0.1011955283048983
0.0965,0.10188408912110258
0.09725,0.10259604639188769
0.098,0.10333067405280408
0.09875,0.10408725198484416
0.0995,0.10486506736784082
0.10025,0.10566341590459781
0.101,0.10648160291881238
0.10175000000000001,0.1073189443307829
0.10250000000000001,0.10817476751565613
0.10325000000000001,0.10904841204957591
0.10400000000000001,0.10993923034955508
0.10475000000000001,0.11084658821322098
0.10550000000000001,0.11176986526479396
0.10625000000000001,0.11270845531376292
0.10700000000000001,0.1136617666327353
0.10775000000000001,0.11462922216087579
0.1085,0.11561025963921587
0.10925,0.11660433168393725
0.11,0.11761090580350286
0.11075,0.11862946436525423
0.1115,0.11965950451680807
0.11225,0.120700538067288
0.113,0.12175209133311637
0.11375,0.1228137049527777
0.1145,0.12388493367465153
0.11525,0.12496534612170301
0.116,0.12605452453651722
0.11675,0.12715206450987135
0.11750000000000001,0.12825757469575774
0.11825000000000001,0.1293706765155052
0.11900000000000001,0.1304910038533906
0.11975000000000001,0.1316182027458967
0.12050000000000001,0.13275193106654862
0.12125000000000001,0.13389185820805205
0.12200000000000001,0.13503766476326662
0.12275000000000001,0.13618904220636555
0.12350000000000001,0.1373456925753718
0.12425,0.13850732815710945
0.125,0.13967367117547172
0.12575,0.14084445348378075
0.1265,0.14201941626190298
0.12725,0.143198309718679
0.128,0.1443808928001355
0.12875,0.14556693290386272
0.1295,0.14675620559986793
0.13025,0.1479484943581456
0.131,0.14914359028315047
0.13175,0.1503412918553025
0.1325,0.15154140467961025
0.13325,0.15274374124145582
0.134,0.15394812066955002
0.13475,0.15515436850603634
0.1355,0.15636231648369361
0.13625,0.15757180231016538
0.137,0.15878266945912364
0.13775,0.15999476696825968
0.1385,0.16120794924397744
0.13925,0.1624220758726568
0.14,0.16363701143834256
