alpha,nu,objective
0.33875,0.27575,0.00010893807031588313
0.33875,0.276,9.679973331163366e-05
0.33875,0.27625,8.541816338304482e-05
0.33875,0.2765,7.479317308168856e-05
0.33875,0.27675,6.492457367935076e-05
0.33875,0.277,5.581217516885546e-05
0.33875,0.27725,4.745578626492078e-05
0.33875,0.2775,3.985521440498326e-05
0.33875,0.27775,3.301026575007763e-05
0.33875,0.278,2.6920745185668217e-05
0.33875,0.27825,2.158645632252684e-05
0.33875,0.2785,1.7007201497592044e-05
0.33875,0.27875,1.31827817748516e-05
0.33875,0.279,1.0112996946204244e-05
0.33875,0.27925,7.797645532361482e-06
0.33875,0.2795,6.236524783736776e-06
0.33875,0.27975,5.429430681321898e-06
0.33875,0.2798924654965345,5.30669770493393e-06
0.33875,0.28,5.376157937600545e-06
0.33875,0.28025,6.07649999745623e-06
0.33875,0.28049999999999997,7.530249039075233e-06
0.33875,0.28075,9.737195974876789e-06
0.33875,0.28099999999999997,1.269713045240918e-05
0.33875,0.28125,1.6409840855300483e-05
0.33875,0.2815,2.087511430417965e-05
0.33875,0.28175,2.6092736657622354e-05
0.33875,0.282,3.206249251308993e-05
0.33875,0.28225,3.8784165207865285e-05
0.33875,0.2825,4.6257536820027234e-05
0.33875,0.28275,5.448238816939792e-05
0.33875,0.283,6.345849881851185e-05
0.33875,0.28325,7.318564707357446e-05
0.33875,0.2835,8.366360998546576e-05
0.33875,0.28375,9.489216335067718e-05
0.33875,0.284,0.00010687108171232757
0.33875,0.28425,0.00011960013836116353
0.33875,0.2845,0.00013307910533651954
0.33875,0.28474999999999995,0.00014730775342733726
