数据集,n,R2(仅Qbar),"Spearman(Qbar, 损失)"
1M 训练集,512,0.0015535606167573768,0.060575870735617716
1M 检验集 (A6/A7),256,-0.048016937028545925,0.0031850823987182417
60M 检验集 (A8/A9),256,,-0.00032687685969329364
1B 检验集 (A10/A11),64,,0.3086538461538461
