population,n,min,mean,max,word_weighted_mean,q01,q05,q10,q25,q50,q75,q90,q95,q99
A1,51230,-1.8403396705552213,-0.10604755691015207,1.1059445427149366,-0.1051384446894898,-1.0334853946233453,-0.7217383288714921,-0.5617132659820046,-0.3220031836111109,-0.0882665679529879,0.14052370372645195,0.3272462599185968,0.4289986017084483,0.604928805425181
all_unique,261086,-2.000535991628798,-0.2629624636125935,1.1059445427149366,-0.038442831777312884,-1.0820673922659019,-0.834545541823596,-0.6985202352571087,-0.48045505809595274,-0.26284581273403734,-0.04350556667217475,0.1819352586128242,0.30917740992347653,0.5168065807212279
domain_arxiv,17523,-1.5763591307472575,0.2225736504137245,0.9574356992835198,0.15460021520175413,-0.39837287563759183,-0.14307953706993912,-0.04104328683779758,0.09846953602733205,0.22941800783006,0.36305307709043133,0.48463411357655733,0.5622864298149758,0.6987724674899123
domain_book,171,-1.1196605830061346,-0.4208437198419146,0.3253592372486815,-0.5199190256766092,-0.8928064093180117,-0.7820947671943292,-0.7308439393776665,-0.5717907431704137,-0.4071866636953873,-0.2554890608726962,-0.1535299821768294,-0.11239527425901084,0.14888017785566546
domain_c4,10000,-1.688451012245448,-0.02098316588946183,0.9361817793227124,0.10448392728289574,-1.0383701434063308,-0.6822747726511801,-0.49482031239352886,-0.22748040996925453,0.01749055026490245,0.23152987077255865,0.3974307163500629,0.4924518096142722,0.6583560455964426
domain_commoncrawl,9640,-1.8403396705552213,0.07280859552019457,1.1059445427149366,0.09419900931319161,-0.8627390024166944,-0.4870574608837613,-0.3287204546463531,-0.11169384669434852,0.10045608392872656,0.2935009248623521,0.44848953533935754,0.5364243545384989,0.6835366484727599
domain_github,203752,-2.000535991628798,-0.3444984288722766,0.9487030076908632,-0.3127649266531828,-1.0978313397337651,-0.8656769803534557,-0.7351183613888178,-0.5276177368438137,-0.32607082454354297,-0.14593260401707459,0.0139335142647581,0.11311860709482452,0.3041416480669775
domain_stackexchange,10000,-1.7744629421413105,-0.07260158627902255,0.726136025622532,-0.057405256155265025,-0.7760970947858814,-0.5228227584262922,-0.4057957599961865,-0.23319915307887457,-0.0570735790655167,0.10480513189444977,0.24442588296781628,0.3223910158576167,0.46659386434727984
domain_wikipedia,10000,-1.814631413882379,-0.2057795034410034,0.9785497426797692,0.042145534953983085,-1.168699385777927,-0.8073556330954551,-0.646895427911774,-0.410851900121552,-0.1902568069587342,0.033870406517454724,0.21731033412602882,0.32409918799259924,0.5186335493930425
